date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Ariana,Hors côtier,Grande métropole,Méditerranéenne,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,74,61,40,103,17,19,14,22,27,80,61,58,36,52,28,44
2020-02-25,Ariana,Hors côtier,Grande métropole,Méditerranéenne,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,74,51,56,113,16,20,13,36,25,80,62,62,40,60,31,37
2020-02-26,Ariana,Hors côtier,Grande métropole,Méditerranéenne,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,73,45,52,98,22,20,13,30,27,77,61,63,42,55,34,40
2020-02-27,Ariana,Hors côtier,Grande métropole,Méditerranéenne,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,102,55,54,90,16,38,21,32,29,74,62,61,35,57,27,35
2020-02-28,Ariana,Hors côtier,Grande métropole,Méditerranéenne,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,78,54,51,91,19,24,11,37,27,74,68,56,41,50,28,36
2020-02-29,Ariana,Hors côtier,Grande métropole,Méditerranéenne,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,104,58,57,93,22,41,22,36,25,74,54,64,38,51,30,46
2020-03-01,Ariana,Hors côtier,Grande métropole,Méditerranéenne,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,84,46,55,100,20,24,25,34,22,76,68,66,34,66,34,21
2020-03-02,Ariana,Hors côtier,Grande métropole,Méditerranéenne,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,87,52,48,100,28,25,22,38,24,84,72,60,39,63,35,21
2020-03-03,Ariana,Hors côtier,Grande métropole,Méditerranéenne,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,86,46,50,81,10,20,16,27,36,78,62,53,38,69,30,22
2020-03-04,Ariana,Hors côtier,Grande métropole,Méditerranéenne,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,87,53,53,99,10,15,15,32,36,71,73,60,35,62,40,26
2020-03-05,Ariana,Hors côtier,Grande métropole,Méditerranéenne,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,90,57,53,78,23,44,36,36,27,76,64,59,43,66,28,25
2020-03-06,Ariana,Hors côtier,Grande métropole,Méditerranéenne,17,55,15,0,16,55,11,0,16,55,11,0,16,55,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,84,47,47,116,21,22,28,35,25,83,64,67,39,75,31,23
2020-03-07,Ariana,Hors côtier,Grande métropole,Méditerranéenne,12,58,20,0,17,55,15,0,17,55,15,0,17,55,15,0,3,1,0,0,0,0,Frais à froid,0,0,0,0,0,102,59,46,109,12,22,26,21,28,75,55,64,39,68,33,23
2020-03-08,Ariana,Hors côtier,Grande métropole,Méditerranéenne,12,58,18,0,12,58,20,0,12,58,20,0,12,58,20,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,76,58,49,99,15,16,16,20,29,72,68,58,40,63,29,26
2020-03-09,Ariana,Hors côtier,Grande métropole,Méditerranéenne,13,58,15,0,12,58,18,0,12,58,18,0,12,58,18,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,77,68,47,106,14,20,18,20,27,82,63,58,38,67,34,25
2020-03-10,Ariana,Hors côtier,Grande métropole,Méditerranéenne,12,65,22,0,13,58,15,0,13,58,15,0,13,58,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,69,56,46,96,13,16,13,19,30,82,59,61,37,76,41,20
2020-03-11,Ariana,Hors côtier,Grande métropole,Méditerranéenne,14,71,12,0,12,65,22,0,12,65,22,0,12,65,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,81,64,48,94,18,16,17,20,27,83,69,56,46,80,31,19
2020-03-12,Ariana,Hors côtier,Grande métropole,Méditerranéenne,15,65,8,0,14,71,12,0,14,71,12,0,14,71,12,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,93,49,59,91,22,35,29,32,23,69,64,59,40,74,22,25
2020-03-13,Ariana,Hors côtier,Grande métropole,Méditerranéenne,17,55,9,0,15,65,8,0,15,65,8,0,15,65,8,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,80,46,52,113,27,26,25,32,24,80,67,59,33,65,28,18
2020-03-14,Ariana,Hors côtier,Grande métropole,Méditerranéenne,17,58,12,0,17,55,9,0,17,55,9,0,17,55,9,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,89,54,53,103,22,47,48,38,25,82,63,54,43,65,33,22
2020-03-15,Ariana,Hors côtier,Grande métropole,Méditerranéenne,16,64,12,0,17,58,12,0,17,58,12,0,17,58,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,87,51,51,85,25,24,24,33,27,74,60,55,37,74,33,21
