date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Beja,Intérieure,Petite ville,Semi-aride,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,37,66,42,82,11,31,7,17,23,82,63,58,37,51,27,30
2020-02-25,Beja,Intérieure,Petite ville,Semi-aride,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,39,47,46,80,8,40,10,25,20,78,65,67,45,44,25,33
2020-02-26,Beja,Intérieure,Petite ville,Semi-aride,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,57,60,55,81,12,64,18,25,19,74,58,58,35,59,29,36
2020-02-27,Beja,Intérieure,Petite ville,Semi-aride,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,41,52,51,98,10,35,10,22,21,81,68,67,42,46,29,30
2020-02-28,Beja,Intérieure,Petite ville,Semi-aride,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,36,55,53,73,11,39,8,27,19,71,66,60,41,52,32,31
2020-02-29,Beja,Intérieure,Petite ville,Semi-aride,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,47,48,55,72,12,47,8,27,20,76,63,60,38,47,34,38
2020-03-01,Beja,Intérieure,Petite ville,Semi-aride,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,46,53,53,68,12,43,16,25,19,79,66,69,39,66,28,16
2020-03-02,Beja,Intérieure,Petite ville,Semi-aride,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,50,57,55,71,13,81,36,26,23,76,64,57,41,68,31,18
2020-03-03,Beja,Intérieure,Petite ville,Semi-aride,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,43,43,49,87,7,33,12,29,28,86,58,60,39,63,30,18
2020-03-04,Beja,Intérieure,Petite ville,Semi-aride,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,50,57,55,106,7,56,23,26,23,69,66,62,38,62,34,17
2020-03-05,Beja,Intérieure,Petite ville,Semi-aride,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,38,50,47,76,12,41,15,25,17,81,57,67,40,62,27,19
2020-03-06,Beja,Intérieure,Petite ville,Semi-aride,17,55,15,0,16,55,11,0,16,55,11,0,16,55,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,40,51,56,82,11,39,14,33,20,77,58,62,38,60,33,17
2020-03-07,Beja,Intérieure,Petite ville,Semi-aride,12,58,20,0,17,55,15,0,17,55,15,0,17,55,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,32,60,40,103,7,27,11,16,24,69,59,52,38,72,27,19
2020-03-08,Beja,Intérieure,Petite ville,Semi-aride,12,58,18,0,12,58,20,0,12,58,20,0,12,58,20,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,31,58,50,87,8,26,11,14,22,73,62,59,41,64,25,17
2020-03-09,Beja,Intérieure,Petite ville,Semi-aride,13,58,15,0,12,58,18,0,12,58,18,0,12,58,18,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,48,57,47,90,9,70,22,15,20,76,62,74,38,63,26,17
2020-03-10,Beja,Intérieure,Petite ville,Semi-aride,12,65,22,0,13,58,15,0,13,58,15,0,13,58,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,31,60,37,104,8,26,10,14,23,75,67,61,40,70,43,16
2020-03-11,Beja,Intérieure,Petite ville,Semi-aride,14,71,12,0,12,65,22,0,12,65,22,0,12,65,22,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,50,68,56,89,10,59,22,15,20,71,67,52,51,72,23,18
2020-03-12,Beja,Intérieure,Petite ville,Semi-aride,15,65,8,0,14,71,12,0,14,71,12,0,14,71,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,39,50,49,71,15,34,12,25,20,76,56,58,42,80,25,19
2020-03-13,Beja,Intérieure,Petite ville,Semi-aride,17,55,9,0,15,65,8,0,15,65,8,0,15,65,8,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,48,49,52,63,16,52,14,25,22,75,64,63,41,71,27,20
2020-03-14,Beja,Intérieure,Petite ville,Semi-aride,17,58,12,0,17,55,9,0,17,55,9,0,17,55,9,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,40,52,56,75,11,40,18,25,21,69,70,61,39,69,31,18
2020-03-15,Beja,Intérieure,Petite ville,Semi-aride,16,64,12,0,17,58,12,0,17,58,12,0,17,58,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,44,49,54,79,14,42,17,25,20,82,57,56,39,76,36,19
2020-03-16,Beja,Intérieure,Petite ville,Semi-aride,15,73,17,0,16,64,12,0,16,64,12,0,16,64,12,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,52,70,77,81,10,55,24,26,25,75,65,61,46,71,33,18
2020-03-17,Beja,Intérieure,Petite ville,Semi-aride,16,71,24,0,15,73,17,0,15,73,17,0,15,73,17,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,39,51,57,88,10,30,13,31,25,81,66,58,47,78,39,19
2020-03-18,Beja,Intérieure,Petite ville,Semi-aride,15,71,17,0,16,71,24,0,16,71,24,0,16,71,24,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,48,63,64,85,10,62,26,22,23,78,73,55,43,79,28,18
2020-03-19,Beja,Intérieure,Petite ville,Semi-aride,15,71,15,0,15,71,17,0,15,71,17,0,15,71,17,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,38,53,63,82,12,30,15,27,18,77,68,59,41,66,29,18
2020-03-20,Beja,Intérieure,Petite ville,Semi-aride,16,70,22,0,15,71,15,0,15,71,15,0,15,71,15,0,3,0,1,0,0,0,Confortable frais,0,0,0,0,1,41,56,60,79,12,46,22,26,18,78,68,54,42,73,40,17
2020-03-21,Beja,Intérieure,Petite ville,Semi-aride,15,79,22,0,16,70,22,0,16,70,22,0,16,70,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,32,48,56,78,13,25,13,25,24,75,54,55,40,72,43,16
2020-03-22,Beja,Intérieure,Petite ville,Semi-aride,16,75,15,0,15,79,22,0,15,79,22,0,15,79,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,40,55,59,77,14,34,15,27,21,78,69,57,50,78,23,18
2020-03-23,Beja,Intérieure,Petite ville,Semi-aride,15,74,12,0,16,75,15,0,16,75,15,0,16,75,15,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,49,70,67,73,12,71,21,25,21,77,58,57,36,77,29,19
2020-03-24,Beja,Intérieure,Petite ville,Semi-aride,14,73,23,0,15,74,12,0,15,74,12,0,15,74,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,38,71,48,103,10,25,11,15,25,75,65,58,41,82,37,15
2020-03-25,Beja,Intérieure,Petite ville,Semi-aride,10,79,26,0,14,73,23,0,14,73,23,0,14,73,23,0,3,1,0,0,0,0,Frais à froid,0,0,0,0,1,44,81,52,120,9,28,13,15,23,76,70,58,44,78,38,16
2020-03-26,Beja,Intérieure,Petite ville,Semi-aride,10,59,16,0,10,79,26,0,10,79,26,0,10,79,26,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,1,34,66,42,93,9,27,8,16,24,84,60,60,40,63,31,19
2020-03-27,Beja,Intérieure,Petite ville,Semi-aride,13,58,14,0,10,59,16,0,10,59,16,0,10,59,16,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,33,55,42,84,10,31,11,16,25,73,69,66,37,66,29,18
2020-03-28,Beja,Intérieure,Petite ville,Semi-aride,14,71,10,0,13,58,14,0,13,58,14,0,13,58,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,38,68,46,96,16,37,12,16,23,77,73,55,49,76,28,18
2020-03-29,Beja,Intérieure,Petite ville,Semi-aride,12,84,12,0,14,71,10,0,14,71,10,0,14,71,10,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,1,32,64,53,110,17,23,9,15,22,73,78,62,43,78,26,19
2020-03-30,Beja,Intérieure,Petite ville,Semi-aride,13,74,11,0,12,84,12,0,12,84,12,0,12,84,12,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,41,74,56,97,13,53,23,14,18,86,64,51,41,72,32,17
2020-03-31,Beja,Intérieure,Petite ville,Semi-aride,15,68,9,0,13,74,11,0,13,74,11,0,13,74,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,44,48,50,84,14,40,15,23,24,74,64,56,44,68,32,17
2020-04-01,Beja,Intérieure,Petite ville,Semi-aride,16,67,14,0,15,68,9,0,15,68,9,0,15,68,9,0,4,1,0,0,0,0,Confortable frais,0,0,0,0,1,44,53,47,65,12,79,40,24,20,71,66,53,44,71,33,20
2020-04-02,Beja,Intérieure,Petite ville,Semi-aride,15,73,15,0,16,67,14,0,16,67,14,0,16,67,14,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,44,51,60,71,12,35,19,27,18,77,75,52,50,75,33,16
2020-04-03,Beja,Intérieure,Petite ville,Semi-aride,14,81,14,0,15,73,15,0,15,73,15,0,15,73,15,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,36,67,49,90,14,31,18,13,16,77,71,53,48,74,23,19
