date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,78,63,42,96,17,21,8,17,26,82,60,63,39,55,35,40
2020-02-25,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,90,53,45,101,16,25,11,33,27,70,60,60,41,53,28,39
2020-02-26,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,85,44,47,106,20,24,12,37,25,71,66,63,36,57,33,26
2020-02-27,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,84,48,49,98,20,24,11,37,20,71,73,59,41,55,30,40
2020-02-28,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,83,57,55,108,18,21,12,37,28,72,63,53,34,48,31,32
2020-02-29,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,99,53,60,91,24,40,25,29,27,82,65,64,44,55,30,31
2020-03-01,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,84,55,45,93,22,25,24,36,27,77,59,65,39,58,31,25
2020-03-02,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,92,55,53,98,30,35,39,30,32,83,56,57,40,61,29,26
2020-03-03,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,81,55,52,118,13,17,21,32,32,80,52,56,36,59,33,22
2020-03-04,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,79,48,53,86,10,12,16,39,29,84,56,52,39,61,39,24
2020-03-05,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,84,50,50,109,23,22,18,26,25,78,66,59,46,59,33,22
2020-03-06,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,17,55,15,0,16,55,11,0,16,55,11,0,16,55,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,90,55,47,95,25,16,23,34,28,70,54,61,38,70,30,24
2020-03-07,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,12,58,20,0,17,55,15,0,17,55,15,0,17,55,15,0,3,1,0,0,0,0,Frais à froid,0,0,0,0,0,89,60,48,93,13,22,18,22,32,62,54,64,37,64,31,19
2020-03-08,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,12,58,18,0,12,58,20,0,12,58,20,0,12,58,20,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,64,54,42,107,15,15,17,23,32,76,65,64,40,64,33,25
2020-03-09,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,13,58,15,0,12,58,18,0,12,58,18,0,12,58,18,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,82,62,52,104,14,25,31,22,21,79,65,52,37,65,30,19
2020-03-10,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,12,65,22,0,13,58,15,0,13,58,15,0,13,58,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,70,65,48,115,14,11,12,20,32,73,68,75,38,75,41,20
2020-03-11,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,14,71,12,0,12,65,22,0,12,65,22,0,12,65,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,67,66,53,96,20,18,14,18,24,85,72,61,45,76,26,25
2020-03-12,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,15,65,8,0,14,71,12,0,14,71,12,0,14,71,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,75,56,53,120,17,16,22,33,27,73,64,58,39,72,35,22
2020-03-13,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,17,55,9,0,15,65,8,0,15,65,8,0,15,65,8,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,86,51,56,107,31,23,29,37,27,73,62,64,45,69,35,23
2020-03-14,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,17,58,12,0,17,55,9,0,17,55,9,0,17,55,9,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,111,52,56,125,28,42,45,38,28,75,63,57,41,62,31,19
2020-03-15,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,16,64,12,0,17,58,12,0,17,58,12,0,17,58,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,82,50,49,101,25,20,23,30,25,75,70,63,37,75,31,20
2020-03-16,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,15,73,17,0,16,64,12,0,16,64,12,0,16,64,12,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,95,65,58,110,22,22,32,33,32,75,66,47,45,73,31,24
2020-03-17,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,16,71,24,0,15,73,17,0,15,73,17,0,15,73,17,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,92,54,53,89,17,16,15,34,32,73,77,60,48,81,40,23
2020-03-18,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,15,71,17,0,16,71,24,0,16,71,24,0,16,71,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,77,54,62,98,18,16,20,34,30,71,64,59,49,73,29,21
2020-03-19,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,15,71,15,0,15,71,17,0,15,71,17,0,15,71,17,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,75,51,56,85,22,19,19,37,22,72,66,53,47,68,31,22
2020-03-20,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,16,70,22,0,15,71,15,0,15,71,15,0,15,71,15,0,3,0,1,0,0,0,Confortable frais,0,0,0,0,1,95,50,58,99,18,25,27,28,25,85,65,51,48,63,38,25
2020-03-21,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,15,79,22,0,16,70,22,0,16,70,22,0,16,70,22,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,97,63,62,109,16,26,30,31,28,75,70,55,45,72,39,23
2020-03-22,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,16,75,15,0,15,79,22,0,15,79,22,0,15,79,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,82,64,58,97,20,19,21,37,29,72,71,61,45,72,30,21
2020-03-23,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,15,74,12,0,16,75,15,0,16,75,15,0,16,75,15,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,103,58,73,110,23,28,35,32,29,65,59,54,49,75,30,20
2020-03-24,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,14,73,23,0,15,74,12,0,15,74,12,0,15,74,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,77,56,51,99,18,15,15,19,26,82,75,53,46,76,39,24
2020-03-25,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,10,79,26,0,14,73,23,0,14,73,23,0,14,73,23,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,1,67,58,51,109,18,8,9,20,26,80,65,63,39,70,41,18
2020-03-26,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,10,59,16,0,10,79,26,0,10,79,26,0,10,79,26,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,1,62,65,53,105,16,13,11,17,31,83,65,57,40,63,30,21
2020-03-27,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,13,58,14,0,10,59,16,0,10,59,16,0,10,59,16,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,91,62,44,105,19,17,14,22,23,79,60,53,44,61,30,22
2020-03-28,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,14,71,10,0,13,58,14,0,13,58,14,0,13,58,14,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,97,67,54,102,20,41,30,17,29,84,74,53,44,75,27,22
2020-03-29,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,12,84,12,0,14,71,10,0,14,71,10,0,14,71,10,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,1,64,77,52,96,27,12,14,22,23,71,61,57,43,84,24,23
2020-03-30,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,13,74,11,0,12,84,12,0,12,84,12,0,12,84,12,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,87,78,59,98,23,36,29,19,22,83,61,47,42,69,36,23
2020-03-31,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,15,68,9,0,13,74,11,0,13,74,11,0,13,74,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,84,46,55,112,19,21,15,31,28,65,69,57,41,68,30,17
2020-04-01,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,16,67,14,0,15,68,9,0,15,68,9,0,15,68,9,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,77,47,40,105,26,21,28,37,25,74,64,71,39,74,33,22
2020-04-02,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,15,73,15,0,16,67,14,0,16,67,14,0,16,67,14,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,80,59,52,98,21,20,30,27,26,78,60,59,39,73,34,20
2020-04-03,Ben Arous,Hors côtier,Grande métropole,Méditerranéenne,14,81,14,0,15,73,15,0,15,73,15,0,15,73,15,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,68,72,50,94,28,16,26,20,26,75,74,51,42,75,21,21
