date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Bizerte,Côtière,Ville moyenne,Méditerranéenne,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,88,68,48,91,16,59,29,15,24,76,54,55,40,56,33,57
2020-02-25,Bizerte,Côtière,Ville moyenne,Méditerranéenne,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,76,48,53,107,14,32,15,30,25,70,70,55,35,59,34,53
2020-02-26,Bizerte,Côtière,Ville moyenne,Méditerranéenne,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,86,50,51,77,19,29,18,33,27,82,64,59,41,57,29,51
2020-02-27,Bizerte,Côtière,Ville moyenne,Méditerranéenne,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,79,46,51,94,15,33,13,26,24,85,71,60,41,61,24,51
2020-02-28,Bizerte,Côtière,Ville moyenne,Méditerranéenne,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,105,64,56,85,18,46,36,35,21,73,63,58,47,48,29,54
2020-02-29,Bizerte,Côtière,Ville moyenne,Méditerranéenne,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,76,48,50,103,20,35,20,31,25,86,69,63,37,57,29,55
2020-03-01,Bizerte,Côtière,Ville moyenne,Méditerranéenne,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,88,51,54,83,19,28,31,31,23,81,63,59,39,65,31,27
2020-03-02,Bizerte,Côtière,Ville moyenne,Méditerranéenne,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,116,57,51,93,22,55,73,36,25,67,68,51,41,69,30,31
2020-03-03,Bizerte,Côtière,Ville moyenne,Méditerranéenne,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,77,46,47,101,11,26,33,34,27,85,58,58,40,67,30,32
2020-03-04,Bizerte,Côtière,Ville moyenne,Méditerranéenne,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,70,53,47,102,9,22,30,31,26,87,64,65,34,69,37,29
2020-03-05,Bizerte,Côtière,Ville moyenne,Méditerranéenne,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,74,48,49,98,19,32,27,32,20,75,63,65,37,59,28,32
