date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Gabès,Intérieure,Ville moyenne,Méditerranéenne,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,36,65,48,95,16,34,10,18,25,77,62,60,40,50,32,34
2020-02-25,Gabès,Intérieure,Ville moyenne,Méditerranéenne,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,48,49,50,85,15,39,10,26,25,71,66,54,42,56,31,32
2020-02-26,Gabès,Intérieure,Ville moyenne,Méditerranéenne,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,58,60,55,73,20,57,21,29,27,71,59,60,41,61,32,30
2020-02-27,Gabès,Intérieure,Ville moyenne,Méditerranéenne,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,48,51,48,107,13,34,11,27,26,69,65,61,43,60,29,29
2020-02-28,Gabès,Intérieure,Ville moyenne,Méditerranéenne,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,59,60,58,92,17,59,23,34,22,72,46,60,34,61,30,28
2020-02-29,Gabès,Intérieure,Ville moyenne,Méditerranéenne,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,51,53,50,105,15,32,13,35,21,75,67,59,44,51,20,33
2020-03-01,Gabès,Intérieure,Ville moyenne,Méditerranéenne,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,43,53,52,81,20,29,22,33,25,73,60,68,46,69,29,22
2020-03-02,Gabès,Intérieure,Ville moyenne,Méditerranéenne,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,47,49,48,83,26,33,24,32,26,77,67,60,35,75,30,22
2020-03-03,Gabès,Intérieure,Ville moyenne,Méditerranéenne,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,45,55,50,89,10,29,20,33,26,76,64,65,39,65,27,18
2020-03-04,Gabès,Intérieure,Ville moyenne,Méditerranéenne,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,57,47,46,115,10,36,24,31,26,67,68,60,46,61,39,16
2020-03-05,Gabès,Intérieure,Ville moyenne,Méditerranéenne,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,44,53,39,92,18,27,21,33,22,76,69,58,37,67,29,18
2020-03-06,Gabès,Intérieure,Ville moyenne,Méditerranéenne,17,55,15,0,16,55,11,0,16,55,11,0,16,55,11,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,57,53,56,97,18,55,44,26,29,81,64,70,34,59,25,20
2020-03-07,Gabès,Intérieure,Ville moyenne,Méditerranéenne,12,58,20,0,17,55,15,0,17,55,15,0,17,55,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,37,62,43,92,13,20,14,16,28,81,68,58,39,70,28,15
2020-03-08,Gabès,Intérieure,Ville moyenne,Méditerranéenne,12,58,18,0,12,58,20,0,12,58,20,0,12,58,20,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,39,54,49,93,15,24,13,18,31,84,66,59,44,68,28,18
2020-03-09,Gabès,Intérieure,Ville moyenne,Méditerranéenne,13,58,15,0,12,58,18,0,12,58,18,0,12,58,18,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,36,63,46,109,15,26,14,15,23,74,77,58,41,62,35,15
2020-03-10,Gabès,Intérieure,Ville moyenne,Méditerranéenne,12,65,22,0,13,58,15,0,13,58,15,0,13,58,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,38,53,40,68,14,22,12,17,30,73,62,57,43,74,37,17
2020-03-11,Gabès,Intérieure,Ville moyenne,Méditerranéenne,14,71,12,0,12,65,22,0,12,65,22,0,12,65,22,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,59,67,56,99,22,48,27,15,20,72,67,59,51,71,33,21
2020-03-12,Gabès,Intérieure,Ville moyenne,Méditerranéenne,15,65,8,0,14,71,12,0,14,71,12,0,14,71,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,38,51,46,74,20,31,16,27,24,75,64,59,43,74,33,20
2020-03-13,Gabès,Intérieure,Ville moyenne,Méditerranéenne,17,55,9,0,15,65,8,0,15,65,8,0,15,65,8,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,57,60,57,88,22,55,42,34,22,73,55,66,43,75,33,16
2020-03-14,Gabès,Intérieure,Ville moyenne,Méditerranéenne,17,58,12,0,17,55,9,0,17,55,9,0,17,55,9,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,44,54,56,82,24,31,21,39,25,71,65,51,39,66,31,17
2020-03-15,Gabès,Intérieure,Ville moyenne,Méditerranéenne,16,64,12,0,17,58,12,0,17,58,12,0,17,58,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,45,46,51,99,24,33,18,29,24,73,66,63,42,69,28,19
2020-03-16,Gabès,Intérieure,Ville moyenne,Méditerranéenne,15,73,17,0,16,64,12,0,16,64,12,0,16,64,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,42,62,56,89,18,23,15,30,30,64,59,53,45,78,29,21
2020-03-17,Gabès,Intérieure,Ville moyenne,Méditerranéenne,16,71,24,0,15,73,17,0,15,73,17,0,15,73,17,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,47,51,57,104,16,19,16,30,29,76,62,54,38,82,34,19
2020-03-18,Gabès,Intérieure,Ville moyenne,Méditerranéenne,15,71,17,0,16,71,24,0,16,71,24,0,16,71,24,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,56,57,57,97,17,40,29,38,29,78,62,62,48,75,31,20
2020-03-19,Gabès,Intérieure,Ville moyenne,Méditerranéenne,15,71,15,0,15,71,17,0,15,71,17,0,15,71,17,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,38,55,62,91,18,28,15,27,27,69,68,61,43,75,30,16
2020-03-20,Gabès,Intérieure,Ville moyenne,Méditerranéenne,16,70,22,0,15,71,15,0,15,71,15,0,15,71,15,0,3,1,1,0,0,0,Confortable frais,0,0,0,0,1,60,75,69,108,20,48,40,31,26,75,80,64,43,73,35,18
2020-03-21,Gabès,Intérieure,Ville moyenne,Méditerranéenne,15,79,22,0,16,70,22,0,16,70,22,0,16,70,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,41,61,56,85,16,20,13,31,31,66,61,59,44,68,37,16
2020-03-22,Gabès,Intérieure,Ville moyenne,Méditerranéenne,16,75,15,0,15,79,22,0,15,79,22,0,15,79,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,41,57,61,74,24,29,18,31,25,78,67,64,49,73,29,17
2020-03-23,Gabès,Intérieure,Ville moyenne,Méditerranéenne,15,74,12,0,16,75,15,0,16,75,15,0,16,75,15,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,37,51,59,81,21,25,20,29,28,91,73,54,45,77,31,18
2020-03-24,Gabès,Intérieure,Ville moyenne,Méditerranéenne,14,73,23,0,15,74,12,0,15,74,12,0,15,74,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,42,63,48,107,13,18,17,18,31,82,73,55,40,66,44,20
2020-03-25,Gabès,Intérieure,Ville moyenne,Méditerranéenne,10,79,26,0,14,73,23,0,14,73,23,0,14,73,23,0,3,1,0,0,0,0,Frais à froid,0,0,0,0,1,45,68,64,117,14,24,17,16,28,84,74,54,40,69,37,16
2020-03-26,Gabès,Intérieure,Ville moyenne,Méditerranéenne,10,59,16,0,10,79,26,0,10,79,26,0,10,79,26,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,1,34,67,43,106,12,18,13,18,29,80,62,69,43,65,35,19
2020-03-27,Gabès,Intérieure,Ville moyenne,Méditerranéenne,13,58,14,0,10,59,16,0,10,59,16,0,10,59,16,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,58,58,48,97,13,52,29,17,22,70,59,55,40,73,35,18
2020-03-28,Gabès,Intérieure,Ville moyenne,Méditerranéenne,14,71,10,0,13,58,14,0,13,58,14,0,13,58,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,41,68,49,99,17,27,16,19,20,80,67,62,52,79,29,15
2020-03-29,Gabès,Intérieure,Ville moyenne,Méditerranéenne,12,84,12,0,14,71,10,0,14,71,10,0,14,71,10,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,1,30,65,50,92,25,20,13,20,27,79,75,52,44,83,27,20
