date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Gafsa,Intérieure,Ville moyenne,Semi-aride,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,41,59,43,96,14,29,11,15,24,68,59,59,37,53,32,27
2020-02-25,Gafsa,Intérieure,Ville moyenne,Semi-aride,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,50,45,55,92,10,31,11,26,28,78,66,57,41,50,30,34
2020-02-26,Gafsa,Intérieure,Ville moyenne,Semi-aride,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,62,52,61,88,15,58,20,36,28,66,72,60,46,58,28,35
2020-02-27,Gafsa,Intérieure,Ville moyenne,Semi-aride,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,42,51,53,102,12,33,10,29,27,80,64,61,39,53,33,30
2020-02-28,Gafsa,Intérieure,Ville moyenne,Semi-aride,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,52,50,53,96,11,27,11,31,26,78,59,57,41,56,37,28
2020-02-29,Gafsa,Intérieure,Ville moyenne,Semi-aride,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,42,52,44,87,16,34,12,31,22,70,63,53,47,55,33,31
2020-03-01,Gafsa,Intérieure,Ville moyenne,Semi-aride,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,51,47,50,73,14,34,19,34,24,90,63,61,44,68,29,17
2020-03-02,Gafsa,Intérieure,Ville moyenne,Semi-aride,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,72,52,51,74,15,62,38,38,27,82,65,57,41,70,31,18
2020-03-03,Gafsa,Intérieure,Ville moyenne,Semi-aride,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,46,50,52,92,9,27,20,31,26,78,61,62,44,59,28,16
2020-03-04,Gafsa,Intérieure,Ville moyenne,Semi-aride,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,55,52,54,93,7,37,32,28,30,83,61,53,40,71,39,19
