date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Jendouba,Intérieure,Petite ville,Semi-aride,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,38,58,50,82,8,37,8,17,15,73,67,61,38,58,29,31
2020-02-25,Jendouba,Intérieure,Petite ville,Semi-aride,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,37,48,42,74,9,36,9,23,21,87,65,53,44,53,32,29
2020-02-26,Jendouba,Intérieure,Petite ville,Semi-aride,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,46,46,62,58,12,84,19,28,20,71,69,57,37,59,27,31
2020-02-27,Jendouba,Intérieure,Petite ville,Semi-aride,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,39,49,51,73,9,38,9,24,24,86,58,56,39,50,28,33
2020-02-28,Jendouba,Intérieure,Petite ville,Semi-aride,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,54,55,55,72,11,70,16,26,21,73,68,53,43,63,25,34
2020-02-29,Jendouba,Intérieure,Petite ville,Semi-aride,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,41,48,54,79,13,40,8,29,19,82,68,57,38,56,29,32
2020-03-01,Jendouba,Intérieure,Petite ville,Semi-aride,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,42,55,56,90,13,40,19,28,19,77,64,59,43,66,33,19
2020-03-02,Jendouba,Intérieure,Petite ville,Semi-aride,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,46,44,51,67,15,45,18,29,19,76,59,66,44,60,29,18
2020-03-03,Jendouba,Intérieure,Petite ville,Semi-aride,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,42,57,47,88,7,43,11,24,21,74,71,62,37,71,34,18
2020-03-04,Jendouba,Intérieure,Petite ville,Semi-aride,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,49,53,63,85,6,50,24,27,25,66,55,55,35,62,43,15
2020-03-05,Jendouba,Intérieure,Petite ville,Semi-aride,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,39,51,47,83,11,47,18,27,21,80,66,64,40,64,30,16
