date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Kairouan,Intérieure,Ville moyenne,Semi-aride,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,51,59,43,89,13,29,12,19,27,76,63,54,40,51,31,31
2020-02-25,Kairouan,Intérieure,Ville moyenne,Semi-aride,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,47,50,52,78,12,30,11,30,28,78,62,65,35,51,31,29
2020-02-26,Kairouan,Intérieure,Ville moyenne,Semi-aride,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,53,52,49,93,13,31,11,34,24,70,55,53,41,57,30,29
2020-02-27,Kairouan,Intérieure,Ville moyenne,Semi-aride,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,61,47,53,101,10,62,20,29,22,79,58,64,43,56,28,26
2020-02-28,Kairouan,Intérieure,Ville moyenne,Semi-aride,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,50,51,47,95,14,33,12,31,21,73,70,68,41,56,31,28
2020-02-29,Kairouan,Intérieure,Ville moyenne,Semi-aride,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,65,52,51,85,16,62,24,33,25,76,71,51,41,58,28,33
2020-03-01,Kairouan,Intérieure,Ville moyenne,Semi-aride,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,50,44,49,88,16,38,19,38,23,72,69,51,41,68,31,16
2020-03-02,Kairouan,Intérieure,Ville moyenne,Semi-aride,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,51,47,48,82,20,28,32,31,24,79,67,58,39,67,31,23
2020-03-03,Kairouan,Intérieure,Ville moyenne,Semi-aride,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,39,50,50,84,9,23,17,33,28,73,55,58,46,63,28,19
2020-03-04,Kairouan,Intérieure,Ville moyenne,Semi-aride,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,42,45,47,89,7,25,14,32,28,72,60,61,35,67,41,16
2020-03-05,Kairouan,Intérieure,Ville moyenne,Semi-aride,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,65,57,50,94,12,65,33,31,25,65,57,49,39,65,33,14
2020-03-06,Kairouan,Intérieure,Ville moyenne,Semi-aride,17,55,15,0,16,55,11,0,16,55,11,0,16,55,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,47,51,56,88,14,30,18,35,24,75,57,67,38,68,33,18
2020-03-07,Kairouan,Intérieure,Ville moyenne,Semi-aride,12,58,20,0,17,55,15,0,17,55,15,0,17,55,15,0,3,1,0,0,0,0,Frais à froid,0,0,0,0,0,54,60,41,112,10,40,24,18,31,82,67,52,42,62,25,20
2020-03-08,Kairouan,Intérieure,Ville moyenne,Semi-aride,12,58,18,0,12,58,20,0,12,58,20,0,12,58,20,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,43,64,42,94,10,23,14,17,28,74,64,66,47,68,32,18
2020-03-09,Kairouan,Intérieure,Ville moyenne,Semi-aride,13,58,15,0,12,58,18,0,12,58,18,0,12,58,18,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,41,55,47,90,10,21,15,17,22,73,59,56,46,56,30,21
2020-03-10,Kairouan,Intérieure,Ville moyenne,Semi-aride,12,65,22,0,13,58,15,0,13,58,15,0,13,58,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,40,53,40,94,10,23,13,18,30,72,62,59,43,68,40,18
2020-03-11,Kairouan,Intérieure,Ville moyenne,Semi-aride,14,71,12,0,12,65,22,0,12,65,22,0,12,65,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,36,62,60,97,15,27,16,17,27,80,73,56,43,70,31,17
2020-03-12,Kairouan,Intérieure,Ville moyenne,Semi-aride,15,65,8,0,14,71,12,0,14,71,12,0,14,71,12,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,65,48,59,85,13,64,32,30,23,69,60,58,40,67,33,22
2020-03-13,Kairouan,Intérieure,Ville moyenne,Semi-aride,17,55,9,0,15,65,8,0,15,65,8,0,15,65,8,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,51,54,49,85,17,34,20,38,25,69,64,60,39,66,34,18
2020-03-14,Kairouan,Intérieure,Ville moyenne,Semi-aride,17,58,12,0,17,55,9,0,17,55,9,0,17,55,9,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,73,53,53,92,20,47,43,35,28,86,59,61,40,66,32,18
2020-03-15,Kairouan,Intérieure,Ville moyenne,Semi-aride,16,64,12,0,17,58,12,0,17,58,12,0,17,58,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,48,46,50,89,16,24,16,33,21,69,68,54,39,74,34,19
2020-03-16,Kairouan,Intérieure,Ville moyenne,Semi-aride,15,73,17,0,16,64,12,0,16,64,12,0,16,64,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,45,58,60,89,14,21,14,28,32,88,64,58,43,75,31,19
2020-03-17,Kairouan,Intérieure,Ville moyenne,Semi-aride,16,71,24,0,15,73,17,0,15,73,17,0,15,73,17,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,47,51,52,102,12,19,15,40,29,83,73,55,40,66,40,19
2020-03-18,Kairouan,Intérieure,Ville moyenne,Semi-aride,15,71,17,0,16,71,24,0,16,71,24,0,16,71,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,47,59,60,90,13,26,17,29,27,81,71,60,40,78,31,15
2020-03-19,Kairouan,Intérieure,Ville moyenne,Semi-aride,15,71,15,0,15,71,17,0,15,71,17,0,15,71,17,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,48,63,81,89,12,43,32,31,25,65,69,52,41,66,31,13
2020-03-20,Kairouan,Intérieure,Ville moyenne,Semi-aride,16,70,22,0,15,71,15,0,15,71,15,0,15,71,15,0,3,0,1,0,0,0,Confortable frais,0,0,0,0,1,48,58,57,81,13,27,27,28,29,74,77,42,40,78,36,19
2020-03-21,Kairouan,Intérieure,Ville moyenne,Semi-aride,15,79,22,0,16,70,22,0,16,70,22,0,16,70,22,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,64,61,68,77,9,37,28,26,22,71,66,64,43,72,38,17
2020-03-22,Kairouan,Intérieure,Ville moyenne,Semi-aride,16,75,15,0,15,79,22,0,15,79,22,0,15,79,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,41,53,58,100,18,30,18,25,24,82,70,64,44,69,26,15
2020-03-23,Kairouan,Intérieure,Ville moyenne,Semi-aride,15,74,12,0,16,75,15,0,16,75,15,0,16,75,15,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,40,57,66,87,16,27,22,26,25,82,70,58,43,68,29,17
2020-03-24,Kairouan,Intérieure,Ville moyenne,Semi-aride,14,73,23,0,15,74,12,0,15,74,12,0,15,74,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,43,65,52,79,11,21,15,18,29,76,70,59,41,72,39,18
2020-03-25,Kairouan,Intérieure,Ville moyenne,Semi-aride,10,79,26,0,14,73,23,0,14,73,23,0,14,73,23,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,1,35,72,56,100,12,10,10,21,28,76,75,58,40,76,36,17
2020-03-26,Kairouan,Intérieure,Ville moyenne,Semi-aride,10,59,16,0,10,79,26,0,10,79,26,0,10,79,26,0,3,1,0,0,0,0,Frais à froid,0,0,0,0,1,46,61,49,109,10,32,19,19,29,80,64,59,46,68,33,17
2020-03-27,Kairouan,Intérieure,Ville moyenne,Semi-aride,13,58,14,0,10,59,16,0,10,59,16,0,10,59,16,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,42,69,43,116,10,27,15,16,25,72,53,56,38,67,32,19
2020-03-28,Kairouan,Intérieure,Ville moyenne,Semi-aride,14,71,10,0,13,58,14,0,13,58,14,0,13,58,14,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,60,72,51,84,18,57,34,17,26,81,69,55,44,78,30,23
2020-03-29,Kairouan,Intérieure,Ville moyenne,Semi-aride,12,84,12,0,14,71,10,0,14,71,10,0,14,71,10,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,1,36,73,54,97,22,22,12,17,23,78,70,54,38,76,25,18
2020-03-30,Kairouan,Intérieure,Ville moyenne,Semi-aride,13,74,11,0,12,84,12,0,12,84,12,0,12,84,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,37,63,58,102,15,26,14,18,22,80,67,61,46,72,32,18
2020-03-31,Kairouan,Intérieure,Ville moyenne,Semi-aride,15,68,9,0,13,74,11,0,13,74,11,0,13,74,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,40,51,54,95,17,30,16,31,23,79,66,63,36,81,26,18
2020-04-01,Kairouan,Intérieure,Ville moyenne,Semi-aride,16,67,14,0,15,68,9,0,15,68,9,0,15,68,9,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,46,49,50,93,16,30,34,28,25,79,68,61,38,75,27,19
2020-04-02,Kairouan,Intérieure,Ville moyenne,Semi-aride,15,73,15,0,16,67,14,0,16,67,14,0,16,67,14,0,4,1,0,0,0,0,Confortable frais,0,0,0,0,1,60,68,61,92,13,52,50,29,25,72,73,65,49,77,32,22
2020-04-03,Kairouan,Intérieure,Ville moyenne,Semi-aride,14,81,14,0,15,73,15,0,15,73,15,0,15,73,15,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,43,61,55,104,19,23,19,18,19,68,79,48,45,78,25,18
2020-04-04,Kairouan,Intérieure,Ville moyenne,Semi-aride,15,66,16,0,14,81,14,0,14,81,14,0,14,81,14,0,4,1,0,0,0,0,Confortable frais,0,0,0,0,1,50,54,59,91,11,41,46,31,30,70,68,57,34,73,36,21
2020-04-05,Kairouan,Intérieure,Ville moyenne,Semi-aride,15,63,10,0,15,66,16,0,15,66,16,0,15,66,16,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,46,50,46,86,14,35,31,28,24,79,59,57,39,71,29,16
2020-04-06,Kairouan,Intérieure,Ville moyenne,Semi-aride,15,63,9,0,15,63,10,0,15,63,10,0,15,63,10,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,50,54,47,100,15,29,25,35,24,74,59,63,37,82,31,18
2020-04-07,Kairouan,Intérieure,Ville moyenne,Semi-aride,15,65,10,0,15,63,9,0,15,63,9,0,15,63,9,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,40,52,48,100,13,30,21,34,21,77,66,58,38,75,26,16
2020-04-08,Kairouan,Intérieure,Ville moyenne,Semi-aride,15,71,10,0,15,65,10,0,15,65,10,0,15,65,10,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,47,58,54,80,18,31,28,25,27,76,66,59,47,72,34,17
2020-04-09,Kairouan,Intérieure,Ville moyenne,Semi-aride,16,68,10,0,15,71,10,0,15,71,10,0,15,71,10,0,4,1,1,0,0,0,Confortable frais,0,0,0,0,1,59,63,59,106,17,68,60,29,25,69,72,74,47,81,27,17
2020-04-10,Kairouan,Intérieure,Ville moyenne,Semi-aride,17,65,12,0,16,68,10,0,16,68,10,0,16,68,10,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,45,51,55,77,20,28,38,37,25,81,64,63,35,75,25,17
2020-04-11,Kairouan,Intérieure,Ville moyenne,Semi-aride,17,67,11,0,17,65,12,0,17,65,12,0,17,65,12,0,4,1,0,0,0,0,Confortable frais,0,0,0,0,1,66,59,59,93,18,59,52,33,22,76,79,59,44,74,30,19
2020-04-12,Kairouan,Intérieure,Ville moyenne,Semi-aride,17,60,12,0,17,67,11,0,17,67,11,0,17,67,11,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,57,57,45,77,16,32,28,37,25,75,59,65,41,71,25,16
2020-04-13,Kairouan,Intérieure,Ville moyenne,Semi-aride,18,62,18,0,17,60,12,0,17,60,12,0,17,60,12,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,49,47,48,73,19,28,30,31,24,75,65,61,42,76,26,20
2020-04-14,Kairouan,Intérieure,Ville moyenne,Semi-aride,20,63,15,0,18,62,18,0,18,62,18,0,18,62,18,0,4,0,0,0,0,0,Confortable optimal,0,0,0,0,1,62,52,55,64,22,33,48,42,24,66,77,55,74,83,35,15
