date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Kasserine,Intérieure,Petite ville,Semi-aride,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,34,57,41,86,9,40,9,16,22,82,60,63,45,58,34,39
2020-02-25,Kasserine,Intérieure,Petite ville,Semi-aride,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,47,50,63,94,10,74,20,24,21,80,62,57,42,61,26,28
2020-02-26,Kasserine,Intérieure,Petite ville,Semi-aride,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,36,51,51,85,11,42,10,29,18,78,50,62,43,56,32,24
2020-02-27,Kasserine,Intérieure,Petite ville,Semi-aride,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,51,52,55,80,9,77,14,23,22,74,52,70,42,53,30,28
2020-02-28,Kasserine,Intérieure,Petite ville,Semi-aride,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,31,52,51,78,11,32,8,26,19,71,56,56,37,55,33,35
2020-02-29,Kasserine,Intérieure,Petite ville,Semi-aride,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,40,50,56,84,13,39,9,25,21,82,54,60,38,47,31,29
2020-03-01,Kasserine,Intérieure,Petite ville,Semi-aride,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,39,57,46,83,11,48,19,26,23,81,64,64,40,66,31,18
2020-03-02,Kasserine,Intérieure,Petite ville,Semi-aride,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,40,49,51,69,15,44,18,35,20,73,63,64,43,64,27,19
2020-03-03,Kasserine,Intérieure,Petite ville,Semi-aride,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,56,56,61,80,6,53,24,24,26,76,66,62,36,63,38,21
2020-03-04,Kasserine,Intérieure,Petite ville,Semi-aride,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,41,47,45,103,7,26,14,24,24,77,59,60,41,71,40,16
2020-03-05,Kasserine,Intérieure,Petite ville,Semi-aride,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,48,67,52,73,13,92,32,22,20,62,58,56,48,62,24,18
2020-03-06,Kasserine,Intérieure,Petite ville,Semi-aride,17,55,15,0,16,55,11,0,16,55,11,0,16,55,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,42,49,50,89,12,37,21,30,21,75,65,62,40,67,36,17
2020-03-07,Kasserine,Intérieure,Petite ville,Semi-aride,12,58,20,0,17,55,15,0,17,55,15,0,17,55,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,30,51,41,94,10,23,9,17,21,66,67,59,41,65,25,20
2020-03-08,Kasserine,Intérieure,Petite ville,Semi-aride,12,58,18,0,12,58,20,0,12,58,20,0,12,58,20,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,39,53,48,100,7,30,12,14,23,73,57,56,42,63,32,18
2020-03-09,Kasserine,Intérieure,Petite ville,Semi-aride,13,58,15,0,12,58,18,0,12,58,18,0,12,58,18,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,29,64,50,94,10,29,11,15,19,82,58,63,43,65,28,17
2020-03-10,Kasserine,Intérieure,Petite ville,Semi-aride,12,65,22,0,13,58,15,0,13,58,15,0,13,58,15,0,3,1,0,0,0,0,Frais à froid,0,0,0,0,0,50,66,54,104,8,45,22,12,25,79,58,62,38,85,33,16
2020-03-11,Kasserine,Intérieure,Petite ville,Semi-aride,14,71,12,0,12,65,22,0,12,65,22,0,12,65,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,36,74,51,103,12,35,16,15,22,71,63,51,44,63,24,18
2020-03-12,Kasserine,Intérieure,Petite ville,Semi-aride,15,65,8,0,14,71,12,0,14,71,12,0,14,71,12,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,54,56,50,79,11,76,25,24,21,80,50,69,39,78,27,18
2020-03-13,Kasserine,Intérieure,Petite ville,Semi-aride,17,55,9,0,15,65,8,0,15,65,8,0,15,65,8,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,38,60,56,69,16,47,18,28,22,70,72,57,39,69,29,19
2020-03-14,Kasserine,Intérieure,Petite ville,Semi-aride,17,58,12,0,17,55,9,0,17,55,9,0,17,55,9,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,38,57,45,72,17,42,16,28,23,81,59,65,41,59,31,18
2020-03-15,Kasserine,Intérieure,Petite ville,Semi-aride,16,64,12,0,17,58,12,0,17,58,12,0,17,58,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,38,54,45,82,15,33,16,25,19,69,70,60,35,71,32,21
2020-03-16,Kasserine,Intérieure,Petite ville,Semi-aride,15,73,17,0,16,64,12,0,16,64,12,0,16,64,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,35,61,61,95,12,33,13,21,24,83,68,62,42,75,26,19
2020-03-17,Kasserine,Intérieure,Petite ville,Semi-aride,16,71,24,0,15,73,17,0,15,73,17,0,15,73,17,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,46,50,58,87,10,49,23,22,25,69,72,53,38,65,36,18
2020-03-18,Kasserine,Intérieure,Petite ville,Semi-aride,15,71,17,0,16,71,24,0,16,71,24,0,16,71,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,41,50,51,90,11,33,12,28,27,76,61,61,47,70,29,19
2020-03-19,Kasserine,Intérieure,Petite ville,Semi-aride,15,71,15,0,15,71,17,0,15,71,17,0,15,71,17,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,49,59,62,75,11,55,24,22,18,83,67,58,46,73,29,20
2020-03-20,Kasserine,Intérieure,Petite ville,Semi-aride,16,70,22,0,15,71,15,0,15,71,15,0,15,71,15,0,3,0,1,0,0,0,Confortable frais,0,0,0,0,1,39,53,57,77,11,41,18,24,25,80,67,50,54,76,36,19
2020-03-21,Kasserine,Intérieure,Petite ville,Semi-aride,15,79,22,0,16,70,22,0,16,70,22,0,16,70,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,34,61,53,89,9,30,12,22,23,74,67,58,43,75,30,18
2020-03-22,Kasserine,Intérieure,Petite ville,Semi-aride,16,75,15,0,15,79,22,0,15,79,22,0,15,79,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,41,58,65,97,16,35,13,29,21,85,69,54,44,72,32,18
2020-03-23,Kasserine,Intérieure,Petite ville,Semi-aride,15,74,12,0,16,75,15,0,16,75,15,0,16,75,15,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,36,57,58,61,14,33,13,27,20,84,76,62,48,62,28,21
2020-03-24,Kasserine,Intérieure,Petite ville,Semi-aride,14,73,23,0,15,74,12,0,15,74,12,0,15,74,12,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,39,73,51,114,8,45,19,16,23,77,64,60,51,67,38,17
2020-03-25,Kasserine,Intérieure,Petite ville,Semi-aride,10,79,26,0,14,73,23,0,14,73,23,0,14,73,23,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,1,32,58,55,126,8,16,6,17,22,85,68,66,52,76,44,14
2020-03-26,Kasserine,Intérieure,Petite ville,Semi-aride,10,59,16,0,10,79,26,0,10,79,26,0,10,79,26,0,3,1,0,0,0,0,Frais à froid,0,0,0,0,1,42,64,51,82,8,50,17,15,22,70,72,57,44,67,25,20
2020-03-27,Kasserine,Intérieure,Petite ville,Semi-aride,13,58,14,0,10,59,16,0,10,59,16,0,10,59,16,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,36,53,39,94,9,27,14,16,19,75,61,63,40,66,34,15
2020-03-28,Kasserine,Intérieure,Petite ville,Semi-aride,14,71,10,0,13,58,14,0,13,58,14,0,13,58,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,37,75,53,78,13,34,14,17,17,83,58,62,43,73,33,19
2020-03-29,Kasserine,Intérieure,Petite ville,Semi-aride,12,84,12,0,14,71,10,0,14,71,10,0,14,71,10,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,1,28,59,49,116,16,21,9,15,20,68,59,61,42,85,26,16
2020-03-30,Kasserine,Intérieure,Petite ville,Semi-aride,13,74,11,0,12,84,12,0,12,84,12,0,12,84,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,31,69,54,113,13,34,11,15,18,75,75,60,49,77,25,18
2020-03-31,Kasserine,Intérieure,Petite ville,Semi-aride,15,68,9,0,13,74,11,0,13,74,11,0,13,74,11,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,44,53,58,84,14,70,29,28,22,72,63,63,36,67,26,20
2020-04-01,Kasserine,Intérieure,Petite ville,Semi-aride,16,67,14,0,15,68,9,0,15,68,9,0,15,68,9,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,39,49,50,66,13,43,28,24,20,76,67,63,42,74,28,16
2020-04-02,Kasserine,Intérieure,Petite ville,Semi-aride,15,73,15,0,16,67,14,0,16,67,14,0,16,67,14,0,4,1,0,0,0,0,Confortable frais,0,0,0,0,1,40,51,70,80,12,61,44,23,23,72,66,61,48,74,29,18
2020-04-03,Kasserine,Intérieure,Petite ville,Semi-aride,14,81,14,0,15,73,15,0,15,73,15,0,15,73,15,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,38,65,48,89,12,29,17,16,20,64,61,61,49,72,27,18
2020-04-04,Kasserine,Intérieure,Petite ville,Semi-aride,15,66,16,0,14,81,14,0,14,81,14,0,14,81,14,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,42,47,52,92,10,38,25,20,22,81,55,53,37,70,30,20
2020-04-05,Kasserine,Intérieure,Petite ville,Semi-aride,15,63,10,0,15,66,16,0,15,66,16,0,15,66,16,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,39,53,53,73,12,34,23,24,18,74,60,59,40,70,32,18
2020-04-06,Kasserine,Intérieure,Petite ville,Semi-aride,15,63,9,0,15,63,10,0,15,63,10,0,15,63,10,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,36,47,56,76,10,40,23,26,21,75,63,71,42,73,30,18
