date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Kef,Intérieure,Petite ville,Semi-aride,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,49,63,55,85,10,72,16,17,19,77,67,66,35,55,33,25
2020-02-25,Kef,Intérieure,Petite ville,Semi-aride,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,35,52,53,84,9,33,10,22,21,80,61,64,41,54,34,31
2020-02-26,Kef,Intérieure,Petite ville,Semi-aride,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,37,40,52,88,12,40,8,27,20,82,60,62,40,59,30,30
2020-02-27,Kef,Intérieure,Petite ville,Semi-aride,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,37,52,47,81,11,42,8,24,19,75,66,61,43,57,32,32
2020-02-28,Kef,Intérieure,Petite ville,Semi-aride,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,48,61,59,88,10,85,22,27,21,71,62,57,44,50,27,30
2020-02-29,Kef,Intérieure,Petite ville,Semi-aride,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,40,55,43,84,12,32,10,30,14,80,60,54,42,52,36,32
2020-03-01,Kef,Intérieure,Petite ville,Semi-aride,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,55,54,51,73,13,68,31,32,19,71,67,55,40,59,32,18
2020-03-02,Kef,Intérieure,Petite ville,Semi-aride,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,40,47,54,60,14,38,18,23,20,70,66,62,45,53,28,15
2020-03-03,Kef,Intérieure,Petite ville,Semi-aride,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,37,44,47,82,8,33,16,25,21,76,72,62,44,66,28,19
2020-03-04,Kef,Intérieure,Petite ville,Semi-aride,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,37,49,49,89,6,31,13,29,23,76,62,51,32,72,37,17
2020-03-05,Kef,Intérieure,Petite ville,Semi-aride,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,37,46,49,58,11,42,12,26,17,77,70,53,41,65,31,19
2020-03-06,Kef,Intérieure,Petite ville,Semi-aride,17,55,15,0,16,55,11,0,16,55,11,0,16,55,11,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,46,51,64,61,11,65,29,29,18,77,59,48,44,67,27,18
2020-03-07,Kef,Intérieure,Petite ville,Semi-aride,12,58,20,0,17,55,15,0,17,55,15,0,17,55,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,34,57,36,97,8,25,9,15,20,69,59,52,40,65,30,19
2020-03-08,Kef,Intérieure,Petite ville,Semi-aride,12,58,18,0,12,58,20,0,12,58,20,0,12,58,20,0,3,1,0,0,0,0,Frais à froid,0,0,0,0,0,47,71,54,97,8,55,16,16,20,68,55,65,42,67,29,19
2020-03-09,Kef,Intérieure,Petite ville,Semi-aride,13,58,15,0,12,58,18,0,12,58,18,0,12,58,18,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,37,64,36,90,9,31,13,15,18,66,65,57,39,64,28,19
2020-03-10,Kef,Intérieure,Petite ville,Semi-aride,12,65,22,0,13,58,15,0,13,58,15,0,13,58,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,33,64,40,94,9,28,12,15,23,74,71,56,34,72,37,19
2020-03-11,Kef,Intérieure,Petite ville,Semi-aride,14,71,12,0,12,65,22,0,12,65,22,0,12,65,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,35,70,53,112,10,37,13,15,19,79,64,58,45,72,25,16
2020-03-12,Kef,Intérieure,Petite ville,Semi-aride,15,65,8,0,14,71,12,0,14,71,12,0,14,71,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,39,48,52,67,10,37,16,24,23,73,61,60,39,75,25,20
2020-03-13,Kef,Intérieure,Petite ville,Semi-aride,17,55,9,0,15,65,8,0,15,65,8,0,15,65,8,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,53,59,55,72,15,78,27,27,19,81,55,60,42,62,30,19
2020-03-14,Kef,Intérieure,Petite ville,Semi-aride,17,58,12,0,17,55,9,0,17,55,9,0,17,55,9,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,35,54,49,65,14,41,16,28,19,78,63,56,38,58,35,19
2020-03-15,Kef,Intérieure,Petite ville,Semi-aride,16,64,12,0,17,58,12,0,17,58,12,0,17,58,12,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,49,57,56,77,14,60,26,20,18,74,62,68,45,67,28,20
2020-03-16,Kef,Intérieure,Petite ville,Semi-aride,15,73,17,0,16,64,12,0,16,64,12,0,16,64,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,38,54,65,61,10,33,10,22,24,84,72,58,43,74,32,17
2020-03-17,Kef,Intérieure,Petite ville,Semi-aride,16,71,24,0,15,73,17,0,15,73,17,0,15,73,17,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,42,50,63,68,12,25,15,28,25,79,78,52,45,73,36,20
2020-03-18,Kef,Intérieure,Petite ville,Semi-aride,15,71,17,0,16,71,24,0,16,71,24,0,16,71,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,39,57,60,72,11,33,15,27,23,80,71,58,43,78,31,20
2020-03-19,Kef,Intérieure,Petite ville,Semi-aride,15,71,15,0,15,71,17,0,15,71,17,0,15,71,17,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,39,60,53,82,12,40,15,23,20,76,68,58,46,79,27,18
2020-03-20,Kef,Intérieure,Petite ville,Semi-aride,16,70,22,0,15,71,15,0,15,71,15,0,15,71,15,0,3,1,1,0,0,0,Confortable frais,0,0,0,0,1,58,69,70,94,12,65,31,28,25,101,80,56,43,76,35,17
2020-03-21,Kef,Intérieure,Petite ville,Semi-aride,15,79,22,0,16,70,22,0,16,70,22,0,16,70,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,37,53,57,76,10,29,10,24,24,67,64,49,44,73,38,17
2020-03-22,Kef,Intérieure,Petite ville,Semi-aride,16,75,15,0,15,79,22,0,15,79,22,0,15,79,22,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,51,61,64,74,16,52,23,24,18,84,63,52,45,61,37,20
