date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Kébili,Intérieure,Petite ville,Aride/désertique,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,38,58,39,82,7,34,8,14,19,87,68,52,36,57,28,28
2020-02-25,Kébili,Intérieure,Petite ville,Aride/désertique,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,33,45,46,66,9,40,7,23,21,81,62,56,39,53,31,29
2020-02-26,Kébili,Intérieure,Petite ville,Aride/désertique,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,49,49,53,67,11,39,8,28,23,71,64,63,37,53,31,30
2020-02-27,Kébili,Intérieure,Petite ville,Aride/désertique,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,43,50,50,88,9,47,10,28,22,73,58,55,40,51,34,33
2020-02-28,Kébili,Intérieure,Petite ville,Aride/désertique,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,43,52,54,77,12,35,10,29,21,78,63,54,43,53,25,31
2020-02-29,Kébili,Intérieure,Petite ville,Aride/désertique,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,59,48,50,73,12,71,18,28,19,78,63,65,42,54,33,27
2020-03-01,Kébili,Intérieure,Petite ville,Aride/désertique,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,47,49,50,67,12,41,19,23,18,82,63,66,42,69,31,18
2020-03-02,Kébili,Intérieure,Petite ville,Aride/désertique,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,56,58,51,77,14,78,30,22,24,88,55,62,39,61,30,17
2020-03-03,Kébili,Intérieure,Petite ville,Aride/désertique,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,43,43,49,85,7,37,14,29,24,80,64,66,30,63,33,19
2020-03-04,Kébili,Intérieure,Petite ville,Aride/désertique,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,41,54,58,95,6,26,16,22,24,77,69,63,41,64,44,17
2020-03-05,Kébili,Intérieure,Petite ville,Aride/désertique,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,42,49,49,79,11,38,15,26,20,67,60,69,38,58,27,17
2020-03-06,Kébili,Intérieure,Petite ville,Aride/désertique,17,55,15,0,16,55,11,0,16,55,11,0,16,55,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,42,48,46,76,12,37,16,33,22,73,62,54,36,57,33,20
2020-03-07,Kébili,Intérieure,Petite ville,Aride/désertique,12,58,20,0,17,55,15,0,17,55,15,0,17,55,15,0,3,1,0,0,0,0,Frais à froid,0,0,0,0,0,42,65,52,105,7,52,19,17,25,75,62,56,40,62,31,18
2020-03-08,Kébili,Intérieure,Petite ville,Aride/désertique,12,58,18,0,12,58,20,0,12,58,20,0,12,58,20,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,39,67,42,104,7,34,9,14,24,79,61,60,41,68,22,17
2020-03-09,Kébili,Intérieure,Petite ville,Aride/désertique,13,58,15,0,12,58,18,0,12,58,18,0,12,58,18,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,49,61,49,88,8,62,21,13,14,77,66,66,41,70,32,16
2020-03-10,Kébili,Intérieure,Petite ville,Aride/désertique,12,65,22,0,13,58,15,0,13,58,15,0,13,58,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,39,55,43,101,7,28,12,13,22,75,68,62,37,78,41,18
2020-03-11,Kébili,Intérieure,Petite ville,Aride/désertique,14,71,12,0,12,65,22,0,12,65,22,0,12,65,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,39,72,55,99,12,33,11,15,21,77,69,48,41,75,24,20
2020-03-12,Kébili,Intérieure,Petite ville,Aride/désertique,15,65,8,0,14,71,12,0,14,71,12,0,14,71,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,47,39,56,73,11,46,15,26,19,75,59,63,34,61,28,19
2020-03-13,Kébili,Intérieure,Petite ville,Aride/désertique,17,55,9,0,15,65,8,0,15,65,8,0,15,65,8,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,50,45,52,78,14,41,18,28,17,74,71,68,41,63,28,20
2020-03-14,Kébili,Intérieure,Petite ville,Aride/désertique,17,58,12,0,17,55,9,0,17,55,9,0,17,55,9,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,60,54,53,70,13,73,32,31,21,71,64,59,47,64,31,20
2020-03-15,Kébili,Intérieure,Petite ville,Aride/désertique,16,64,12,0,17,58,12,0,17,58,12,0,17,58,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,39,49,49,71,11,45,16,24,20,74,59,58,41,69,26,18
2020-03-16,Kébili,Intérieure,Petite ville,Aride/désertique,15,73,17,0,16,64,12,0,16,64,12,0,16,64,12,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,45,69,60,87,9,63,20,26,19,79,79,57,45,67,30,17
2020-03-17,Kébili,Intérieure,Petite ville,Aride/désertique,16,71,24,0,15,73,17,0,15,73,17,0,15,73,17,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,38,51,53,81,9,22,13,26,25,83,70,54,42,69,40,20
2020-03-18,Kébili,Intérieure,Petite ville,Aride/désertique,15,71,17,0,16,71,24,0,16,71,24,0,16,71,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,46,54,64,83,9,28,14,26,20,80,66,61,44,79,30,15
2020-03-19,Kébili,Intérieure,Petite ville,Aride/désertique,15,71,15,0,15,71,17,0,15,71,17,0,15,71,17,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,38,59,62,81,10,36,16,24,19,75,64,56,47,77,30,19
2020-03-20,Kébili,Intérieure,Petite ville,Aride/désertique,16,70,22,0,15,71,15,0,15,71,15,0,15,71,15,0,3,0,1,0,0,0,Confortable frais,0,0,0,0,1,50,60,55,89,12,44,22,28,21,71,68,59,39,72,44,19
2020-03-21,Kébili,Intérieure,Petite ville,Aride/désertique,15,79,22,0,16,70,22,0,16,70,22,0,16,70,22,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,43,53,57,90,9,40,23,22,23,78,68,50,47,82,39,18
2020-03-22,Kébili,Intérieure,Petite ville,Aride/désertique,16,75,15,0,15,79,22,0,15,79,22,0,15,79,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,42,52,54,74,13,32,17,28,18,80,72,48,42,70,30,17
2020-03-23,Kébili,Intérieure,Petite ville,Aride/désertique,15,74,12,0,16,75,15,0,16,75,15,0,16,75,15,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,54,66,61,67,11,67,28,22,22,85,77,61,41,73,31,17
2020-03-24,Kébili,Intérieure,Petite ville,Aride/désertique,14,73,23,0,15,74,12,0,15,74,12,0,15,74,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,35,71,50,91,10,23,10,16,21,77,66,55,39,75,35,19
2020-03-25,Kébili,Intérieure,Petite ville,Aride/désertique,10,79,26,0,14,73,23,0,14,73,23,0,14,73,23,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,1,29,65,55,105,8,13,8,16,22,84,74,63,44,67,37,20
