date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Mahdia,Côtière,Ville moyenne,Méditerranéenne,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,106,69,50,93,16,51,33,23,26,72,65,58,40,52,32,49
2020-02-25,Mahdia,Côtière,Ville moyenne,Méditerranéenne,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,95,54,48,97,15,58,33,30,30,74,66,58,36,49,26,48
2020-02-26,Mahdia,Côtière,Ville moyenne,Méditerranéenne,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,79,53,49,97,17,24,18,32,25,88,64,52,40,59,32,46
2020-02-27,Mahdia,Côtière,Ville moyenne,Méditerranéenne,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,79,53,50,70,16,32,21,28,21,69,68,52,33,52,33,55
2020-02-28,Mahdia,Côtière,Ville moyenne,Méditerranéenne,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,77,47,49,84,20,30,20,30,23,78,73,65,35,55,28,38
2020-02-29,Mahdia,Côtière,Ville moyenne,Méditerranéenne,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,85,50,48,86,22,36,21,30,22,75,64,59,41,54,24,48
2020-03-01,Mahdia,Côtière,Ville moyenne,Méditerranéenne,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,94,59,49,110,23,58,78,32,25,84,58,64,41,66,33,33
2020-03-02,Mahdia,Côtière,Ville moyenne,Méditerranéenne,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,81,51,55,83,24,29,29,34,27,73,55,65,38,62,27,23
2020-03-03,Mahdia,Côtière,Ville moyenne,Méditerranéenne,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,90,49,57,113,11,46,54,23,24,74,60,54,44,65,34,26
2020-03-04,Mahdia,Côtière,Ville moyenne,Méditerranéenne,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,75,52,51,105,13,20,24,29,24,77,66,55,42,69,42,31
