date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Manouba,Hors côtier,Grande métropole,Méditerranéenne,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,71,59,44,101,20,27,12,17,28,81,58,55,43,56,35,36
2020-02-25,Manouba,Hors côtier,Grande métropole,Méditerranéenne,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,89,48,54,104,19,24,12,34,29,69,60,62,39,57,35,33
2020-02-26,Manouba,Hors côtier,Grande métropole,Méditerranéenne,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,94,62,56,115,21,46,27,32,26,75,64,58,43,53,32,42
2020-02-27,Manouba,Hors côtier,Grande métropole,Méditerranéenne,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,85,60,49,110,14,25,13,27,28,77,63,54,38,51,32,43
2020-02-28,Manouba,Hors côtier,Grande métropole,Méditerranéenne,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,80,47,43,96,22,23,12,40,25,82,61,62,40,55,28,41
2020-02-29,Manouba,Hors côtier,Grande métropole,Méditerranéenne,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,75,55,51,88,20,21,14,27,28,73,56,69,45,51,29,44
2020-03-01,Manouba,Hors côtier,Grande métropole,Méditerranéenne,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,90,47,49,97,25,24,23,38,27,69,61,62,43,68,30,22
2020-03-02,Manouba,Hors côtier,Grande métropole,Méditerranéenne,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,95,50,67,111,25,40,41,41,22,75,66,52,38,53,36,24
2020-03-03,Manouba,Hors côtier,Grande métropole,Méditerranéenne,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,84,49,55,101,12,23,21,31,31,71,60,55,44,62,33,22
2020-03-04,Manouba,Hors côtier,Grande métropole,Méditerranéenne,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,113,50,56,119,9,28,30,34,34,61,60,57,36,57,41,24
2020-03-05,Manouba,Hors côtier,Grande métropole,Méditerranéenne,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,75,52,51,105,24,20,22,36,27,86,56,62,38,71,27,26
2020-03-06,Manouba,Hors côtier,Grande métropole,Méditerranéenne,17,55,15,0,16,55,11,0,16,55,11,0,16,55,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,78,53,47,91,26,19,23,35,20,66,64,60,40,65,31,20
2020-03-07,Manouba,Hors côtier,Grande métropole,Méditerranéenne,12,58,20,0,17,55,15,0,17,55,15,0,17,55,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,62,56,41,103,15,17,12,18,35,75,56,64,37,70,28,18
2020-03-08,Manouba,Hors côtier,Grande métropole,Méditerranéenne,12,58,18,0,12,58,20,0,12,58,20,0,12,58,20,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,65,56,46,86,15,14,19,22,27,74,75,56,36,65,32,19
2020-03-09,Manouba,Hors côtier,Grande métropole,Méditerranéenne,13,58,15,0,12,58,18,0,12,58,18,0,12,58,18,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,95,68,49,112,15,35,27,18,23,74,64,64,36,77,36,16
2020-03-10,Manouba,Hors côtier,Grande métropole,Méditerranéenne,12,65,22,0,13,58,15,0,13,58,15,0,13,58,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,70,54,42,102,16,12,14,16,27,73,66,61,40,71,40,22
2020-03-11,Manouba,Hors côtier,Grande métropole,Méditerranéenne,14,71,12,0,12,65,22,0,12,65,22,0,12,65,22,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,86,77,49,115,24,33,31,19,29,68,73,56,44,76,29,18
2020-03-12,Manouba,Hors côtier,Grande métropole,Méditerranéenne,15,65,8,0,14,71,12,0,14,71,12,0,14,71,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,77,56,52,106,22,24,17,30,22,79,57,60,38,73,29,21
2020-03-13,Manouba,Hors côtier,Grande métropole,Méditerranéenne,17,55,9,0,15,65,8,0,15,65,8,0,15,65,8,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,81,53,52,90,23,20,23,35,25,77,68,62,40,67,30,28
2020-03-14,Manouba,Hors côtier,Grande métropole,Méditerranéenne,17,58,12,0,17,55,9,0,17,55,9,0,17,55,9,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,78,47,47,77,28,23,21,38,24,79,61,51,42,62,33,23
2020-03-15,Manouba,Hors côtier,Grande métropole,Méditerranéenne,16,64,12,0,17,58,12,0,17,58,12,0,17,58,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,71,55,53,100,21,23,24,35,29,68,60,58,39,70,30,19
