date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Medenine,Intérieure,Ville moyenne,Aride/désertique,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,61,80,55,106,10,56,22,15,29,82,60,63,42,56,30,31
2020-02-25,Medenine,Intérieure,Ville moyenne,Aride/désertique,15,50,9,0,14,53,8,0,14,72,12,3,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,48,45,52,90,11,29,10,26,22,85,65,60,40,55,31,32
2020-02-26,Medenine,Intérieure,Ville moyenne,Aride/désertique,16,51,11,0,15,50,9,0,15,50,9,0,14,53,8,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,56,61,56,97,11,36,13,34,23,74,69,59,45,53,33,33
2020-02-27,Medenine,Intérieure,Ville moyenne,Aride/désertique,15,56,12,0,16,51,11,0,16,51,11,0,15,50,9,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,46,48,52,93,9,34,10,30,24,85,57,58,37,60,33,29
2020-02-28,Medenine,Intérieure,Ville moyenne,Aride/désertique,16,52,13,0,15,56,12,0,15,56,12,0,16,51,11,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,54,39,51,104,12,33,10,33,25,81,62,65,48,52,33,30
2020-02-29,Medenine,Intérieure,Ville moyenne,Aride/désertique,16,55,10,0,16,52,13,0,16,52,13,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,52,55,50,85,14,32,11,28,28,81,61,54,45,55,25,26
2020-03-01,Medenine,Intérieure,Ville moyenne,Aride/désertique,17,48,11,0,16,55,10,0,16,55,10,0,16,52,13,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,57,55,54,94,13,27,22,36,22,84,63,65,41,67,30,19
2020-03-02,Medenine,Intérieure,Ville moyenne,Aride/désertique,18,56,14,0,17,48,11,0,17,48,11,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,55,50,55,84,17,32,21,31,26,73,59,58,42,64,26,17
2020-03-03,Medenine,Intérieure,Ville moyenne,Aride/désertique,15,52,19,0,18,56,14,0,18,56,14,0,17,48,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,47,53,49,83,8,27,14,31,24,68,60,58,44,69,29,19
2020-03-04,Medenine,Intérieure,Ville moyenne,Aride/désertique,15,53,24,0,15,52,19,0,15,52,19,0,18,56,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,49,50,46,99,6,18,16,28,25,71,71,51,40,66,42,19
2020-03-05,Medenine,Intérieure,Ville moyenne,Aride/désertique,16,55,11,0,15,53,24,0,15,53,24,0,15,52,19,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,47,51,47,89,12,27,23,32,23,87,69,63,38,66,25,16
2020-03-06,Medenine,Intérieure,Ville moyenne,Aride/désertique,17,55,15,0,16,55,11,0,16,55,11,0,15,53,24,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,74,52,46,90,12,65,32,35,25,74,56,51,37,63,30,20
2020-03-07,Medenine,Intérieure,Ville moyenne,Aride/désertique,12,58,20,0,17,55,15,0,17,55,15,0,16,55,11,0,3,1,0,0,0,0,Frais à froid,0,0,0,0,0,56,63,55,96,9,38,27,19,29,78,56,51,34,71,25,18
2020-03-08,Medenine,Intérieure,Ville moyenne,Aride/désertique,12,58,18,0,12,58,20,0,12,58,20,0,17,55,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,49,61,42,99,8,23,10,16,30,76,56,58,41,69,32,20
2020-03-09,Medenine,Intérieure,Ville moyenne,Aride/désertique,13,58,15,0,12,58,18,0,12,58,18,0,12,58,20,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,42,66,43,79,11,26,15,20,28,74,60,63,35,60,30,17
2020-03-10,Medenine,Intérieure,Ville moyenne,Aride/désertique,12,65,22,0,13,58,15,0,13,58,15,0,12,58,18,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,41,61,42,90,10,14,13,19,30,81,63,59,39,77,44,19
2020-03-11,Medenine,Intérieure,Ville moyenne,Aride/désertique,14,71,12,0,12,65,22,0,12,65,22,0,13,58,15,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,51,73,52,126,17,28,14,19,27,62,78,50,49,72,24,16
