date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Monastir,Côtière,Ville moyenne,Méditerranéenne,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,78,55,40,91,18,33,17,21,22,68,58,67,37,56,31,50
2020-02-25,Monastir,Côtière,Ville moyenne,Méditerranéenne,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,118,50,57,90,16,56,36,31,26,88,64,56,35,56,28,49
2020-02-26,Monastir,Côtière,Ville moyenne,Méditerranéenne,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,75,47,43,97,20,33,17,34,22,87,54,67,36,52,32,52
2020-02-27,Monastir,Côtière,Ville moyenne,Méditerranéenne,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,94,64,60,91,16,55,44,26,24,78,66,62,40,55,29,44
2020-02-28,Monastir,Côtière,Ville moyenne,Méditerranéenne,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,72,46,52,94,19,27,22,28,21,77,60,65,37,55,31,49
2020-02-29,Monastir,Côtière,Ville moyenne,Méditerranéenne,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,72,57,46,81,21,38,18,28,24,74,59,56,40,54,30,47
2020-03-01,Monastir,Côtière,Ville moyenne,Méditerranéenne,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,69,46,51,72,21,28,34,30,30,86,53,56,46,62,34,25
2020-03-02,Monastir,Côtière,Ville moyenne,Méditerranéenne,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,76,51,50,79,26,33,36,37,28,61,71,66,31,62,29,28
2020-03-03,Monastir,Côtière,Ville moyenne,Méditerranéenne,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,78,50,56,104,13,47,38,23,28,69,56,57,43,70,33,27
2020-03-04,Monastir,Côtière,Ville moyenne,Méditerranéenne,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,68,48,46,107,10,20,27,28,27,86,56,61,37,56,40,36
