date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Sfax,Hors côtier,Grande métropole,Méditerranéenne,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,84,63,47,100,18,27,9,19,32,82,63,64,34,60,29,39
2020-02-25,Sfax,Hors côtier,Grande métropole,Méditerranéenne,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,80,53,44,90,17,21,12,32,25,71,66,61,37,56,34,35
2020-02-26,Sfax,Hors côtier,Grande métropole,Méditerranéenne,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,86,49,51,86,19,23,12,41,26,80,59,58,41,55,26,35
2020-02-27,Sfax,Hors côtier,Grande métropole,Méditerranéenne,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,86,49,46,111,17,25,12,38,24,84,53,60,38,52,29,36
2020-02-28,Sfax,Hors côtier,Grande métropole,Méditerranéenne,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,82,56,47,104,16,22,11,33,27,87,66,59,42,56,31,33
2020-02-29,Sfax,Hors côtier,Grande métropole,Méditerranéenne,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,107,63,43,104,23,38,20,40,26,66,57,65,43,56,33,41
2020-03-01,Sfax,Hors côtier,Grande métropole,Méditerranéenne,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,99,55,54,95,23,24,17,33,22,79,62,54,37,65,29,25
2020-03-02,Sfax,Hors côtier,Grande métropole,Méditerranéenne,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,93,56,56,101,30,42,49,33,24,77,65,64,41,63,30,18
2020-03-03,Sfax,Hors côtier,Grande métropole,Méditerranéenne,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,83,48,51,107,13,22,17,34,32,73,72,56,42,63,26,20
2020-03-04,Sfax,Hors côtier,Grande métropole,Méditerranéenne,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,79,49,51,113,10,16,16,39,32,79,58,55,39,67,38,19
2020-03-05,Sfax,Hors côtier,Grande métropole,Méditerranéenne,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,83,47,48,99,18,25,18,29,29,78,61,55,41,70,26,23
2020-03-06,Sfax,Hors côtier,Grande métropole,Méditerranéenne,17,55,15,0,16,55,11,0,16,55,11,0,16,55,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,85,53,49,109,23,20,21,38,23,85,59,61,39,63,29,23
2020-03-07,Sfax,Hors côtier,Grande métropole,Méditerranéenne,12,58,20,0,17,55,15,0,17,55,15,0,17,55,15,0,3,1,0,0,0,0,Frais à froid,0,0,0,0,0,81,66,49,91,13,29,26,23,30,75,53,62,38,59,25,16
2020-03-08,Sfax,Hors côtier,Grande métropole,Méditerranéenne,12,58,18,0,12,58,20,0,12,58,20,0,12,58,20,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,70,56,52,101,15,17,15,16,32,76,54,64,43,66,28,22
2020-03-09,Sfax,Hors côtier,Grande métropole,Méditerranéenne,13,58,15,0,12,58,18,0,12,58,18,0,12,58,18,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,95,65,47,101,15,31,22,20,28,81,67,64,41,70,30,24
2020-03-10,Sfax,Hors côtier,Grande métropole,Méditerranéenne,12,65,22,0,13,58,15,0,13,58,15,0,13,58,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,68,57,48,101,14,15,13,22,28,83,64,59,37,66,42,21
