date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Sidi Bouzid,Intérieure,Petite ville,Semi-aride,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,32,61,47,64,11,43,9,16,20,82,65,68,43,56,30,34
2020-02-25,Sidi Bouzid,Intérieure,Petite ville,Semi-aride,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,36,55,51,80,10,41,6,23,22,81,57,53,48,57,31,29
2020-02-26,Sidi Bouzid,Intérieure,Petite ville,Semi-aride,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,38,53,47,93,10,43,9,22,21,80,77,65,41,58,33,30
2020-02-27,Sidi Bouzid,Intérieure,Petite ville,Semi-aride,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,52,55,58,65,8,71,17,23,21,76,64,73,45,54,31,35
2020-02-28,Sidi Bouzid,Intérieure,Petite ville,Semi-aride,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,37,47,45,79,10,36,9,21,20,68,61,61,40,52,30,34
2020-02-29,Sidi Bouzid,Intérieure,Petite ville,Semi-aride,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,49,51,63,74,12,65,13,24,20,75,59,57,39,52,31,29
2020-03-01,Sidi Bouzid,Intérieure,Petite ville,Semi-aride,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,42,50,51,73,14,45,15,28,18,75,62,57,34,69,29,17
2020-03-02,Sidi Bouzid,Intérieure,Petite ville,Semi-aride,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,48,60,57,64,14,44,16,30,22,70,63,60,37,61,27,16
2020-03-03,Sidi Bouzid,Intérieure,Petite ville,Semi-aride,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,39,53,53,78,6,34,14,22,20,75,65,62,40,66,28,17
2020-03-04,Sidi Bouzid,Intérieure,Petite ville,Semi-aride,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,39,45,43,83,7,28,13,25,25,81,58,60,34,65,36,17
