date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Siliana,Intérieure,Petite ville,Semi-aride,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,52,78,50,79,8,65,17,17,18,78,60,60,38,56,31,29
2020-02-25,Siliana,Intérieure,Petite ville,Semi-aride,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,46,49,62,73,9,62,16,27,27,69,66,55,41,52,30,36
2020-02-26,Siliana,Intérieure,Petite ville,Semi-aride,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,38,46,44,85,11,38,9,24,17,84,66,71,38,59,34,34
2020-02-27,Siliana,Intérieure,Petite ville,Semi-aride,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,36,49,54,94,11,40,8,24,19,89,69,62,36,57,31,29
2020-02-28,Siliana,Intérieure,Petite ville,Semi-aride,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,42,39,53,74,12,40,11,28,18,74,67,70,41,50,24,31
2020-02-29,Siliana,Intérieure,Petite ville,Semi-aride,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,39,49,53,81,14,47,10,29,20,72,65,55,44,55,28,29
2020-03-01,Siliana,Intérieure,Petite ville,Semi-aride,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,50,54,53,67,14,85,33,23,22,79,59,50,36,60,29,16
2020-03-02,Siliana,Intérieure,Petite ville,Semi-aride,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,41,47,50,70,17,45,16,31,20,79,61,55,44,55,26,18
2020-03-03,Siliana,Intérieure,Petite ville,Semi-aride,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,47,64,59,86,7,58,26,24,24,86,60,63,38,66,28,19
2020-03-04,Siliana,Intérieure,Petite ville,Semi-aride,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,39,59,50,77,6,27,13,24,23,68,70,63,39,70,44,16
2020-03-05,Siliana,Intérieure,Petite ville,Semi-aride,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,33,52,50,73,13,45,13,29,20,76,54,57,32,60,29,21
2020-03-06,Siliana,Intérieure,Petite ville,Semi-aride,17,55,15,0,16,55,11,0,16,55,11,0,16,55,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,41,55,46,71,12,38,18,27,25,82,64,64,38,62,31,18
2020-03-07,Siliana,Intérieure,Petite ville,Semi-aride,12,58,20,0,17,55,15,0,17,55,15,0,17,55,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,36,63,41,94,8,26,11,16,26,78,65,64,37,66,32,18
2020-03-08,Siliana,Intérieure,Petite ville,Semi-aride,12,58,18,0,12,58,20,0,12,58,20,0,12,58,20,0,3,1,0,0,0,0,Frais à froid,0,0,0,0,0,47,69,45,93,8,46,22,17,23,79,60,57,38,55,33,16
2020-03-09,Siliana,Intérieure,Petite ville,Semi-aride,13,58,15,0,12,58,18,0,12,58,18,0,12,58,18,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,32,70,45,83,9,34,10,16,18,81,61,57,39,76,30,14
2020-03-10,Siliana,Intérieure,Petite ville,Semi-aride,12,65,22,0,13,58,15,0,13,58,15,0,13,58,15,0,3,1,0,0,0,0,Frais à froid,0,0,0,0,0,47,55,51,107,10,41,19,13,21,81,53,59,39,69,40,18
2020-03-11,Siliana,Intérieure,Petite ville,Semi-aride,14,71,12,0,12,65,22,0,12,65,22,0,12,65,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,33,66,59,85,12,37,13,15,22,64,72,52,43,70,29,16
2020-03-12,Siliana,Intérieure,Petite ville,Semi-aride,15,65,8,0,14,71,12,0,14,71,12,0,14,71,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,42,52,45,74,11,48,13,24,19,81,67,63,35,67,33,17
2020-03-13,Siliana,Intérieure,Petite ville,Semi-aride,17,55,9,0,15,65,8,0,15,65,8,0,15,65,8,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,42,45,55,61,14,42,14,30,19,72,58,62,44,74,37,17
2020-03-14,Siliana,Intérieure,Petite ville,Semi-aride,17,58,12,0,17,55,9,0,17,55,9,0,17,55,9,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,42,46,56,82,12,50,17,23,19,70,64,61,39,63,30,17
2020-03-15,Siliana,Intérieure,Petite ville,Semi-aride,16,64,12,0,17,58,12,0,17,58,12,0,17,58,12,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,50,66,56,80,13,83,21,24,18,68,60,54,37,62,33,16
2020-03-16,Siliana,Intérieure,Petite ville,Semi-aride,15,73,17,0,16,64,12,0,16,64,12,0,16,64,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,34,58,60,76,12,29,13,21,20,81,78,58,45,83,33,17
2020-03-17,Siliana,Intérieure,Petite ville,Semi-aride,16,71,24,0,15,73,17,0,15,73,17,0,15,73,17,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,51,59,66,84,9,38,24,21,24,80,73,64,45,75,36,19
2020-03-18,Siliana,Intérieure,Petite ville,Semi-aride,15,71,17,0,16,71,24,0,16,71,24,0,16,71,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,34,55,64,84,12,26,16,26,25,83,58,62,49,72,30,17
2020-03-19,Siliana,Intérieure,Petite ville,Semi-aride,15,71,15,0,15,71,17,0,15,71,17,0,15,71,17,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,32,52,56,85,11,32,13,23,21,83,59,56,41,75,29,21
2020-03-20,Siliana,Intérieure,Petite ville,Semi-aride,16,70,22,0,15,71,15,0,15,71,15,0,15,71,15,0,3,0,1,0,0,0,Confortable frais,0,0,0,0,1,41,54,55,61,11,40,19,25,27,79,72,65,41,79,41,20
2020-03-21,Siliana,Intérieure,Petite ville,Semi-aride,15,79,22,0,16,70,22,0,16,70,22,0,16,70,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,38,64,60,73,10,22,13,21,28,59,76,59,43,81,36,18
2020-03-22,Siliana,Intérieure,Petite ville,Semi-aride,16,75,15,0,15,79,22,0,15,79,22,0,15,79,22,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,58,64,65,78,14,58,30,25,18,85,67,52,48,75,25,16
2020-03-23,Siliana,Intérieure,Petite ville,Semi-aride,15,74,12,0,16,75,15,0,16,75,15,0,16,75,15,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,36,48,64,84,12,36,12,22,21,83,69,55,43,78,31,20
2020-03-24,Siliana,Intérieure,Petite ville,Semi-aride,14,73,23,0,15,74,12,0,15,74,12,0,15,74,12,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,40,69,55,93,9,48,18,14,23,82,68,58,42,68,32,16
2020-03-25,Siliana,Intérieure,Petite ville,Semi-aride,10,79,26,0,14,73,23,0,14,73,23,0,14,73,23,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,1,29,60,47,104,10,12,9,14,22,71,74,58,40,60,41,20
2020-03-26,Siliana,Intérieure,Petite ville,Semi-aride,10,59,16,0,10,79,26,0,10,79,26,0,10,79,26,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,1,35,67,43,98,9,29,8,16,24,80,62,69,38,75,30,19
2020-03-27,Siliana,Intérieure,Petite ville,Semi-aride,13,58,14,0,10,59,16,0,10,59,16,0,10,59,16,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,33,60,52,81,11,33,14,15,20,78,56,62,33,59,35,18
2020-03-28,Siliana,Intérieure,Petite ville,Semi-aride,14,71,10,0,13,58,14,0,13,58,14,0,13,58,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,32,79,57,105,14,32,10,13,21,75,66,58,47,75,34,18
2020-03-29,Siliana,Intérieure,Petite ville,Semi-aride,12,84,12,0,14,71,10,0,14,71,10,0,14,71,10,0,3,1,0,0,0,0,Frais à froid,0,0,0,0,1,39,73,60,74,16,49,14,15,20,75,63,55,48,70,23,17
2020-03-30,Siliana,Intérieure,Petite ville,Semi-aride,13,74,11,0,12,84,12,0,12,84,12,0,12,84,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,32,69,52,93,14,33,11,15,21,67,70,57,46,70,33,21
2020-03-31,Siliana,Intérieure,Petite ville,Semi-aride,15,68,9,0,13,74,11,0,13,74,11,0,13,74,11,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,51,55,58,76,11,65,24,25,19,73,62,59,35,74,36,17
2020-04-01,Siliana,Intérieure,Petite ville,Semi-aride,16,67,14,0,15,68,9,0,15,68,9,0,15,68,9,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,42,47,47,81,15,45,27,19,20,69,66,66,42,70,32,17
2020-04-02,Siliana,Intérieure,Petite ville,Semi-aride,15,73,15,0,16,67,14,0,16,67,14,0,16,67,14,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,35,57,55,83,11,34,20,23,21,85,63,60,39,70,29,18
2020-04-03,Siliana,Intérieure,Petite ville,Semi-aride,14,81,14,0,15,73,15,0,15,73,15,0,15,73,15,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,30,62,49,91,14,32,22,17,21,77,67,57,44,79,20,17
