date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Sousse,Côtière,Grande métropole,Méditerranéenne,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,81,53,42,103,14,21,20,21,25,77,75,56,43,59,32,49
2020-02-25,Sousse,Côtière,Grande métropole,Méditerranéenne,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,102,52,51,98,19,22,20,38,29,69,55,59,46,57,27,52
2020-02-26,Sousse,Côtière,Grande métropole,Méditerranéenne,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,107,48,50,106,17,21,25,36,30,78,60,57,43,52,28,49
2020-02-27,Sousse,Côtière,Grande métropole,Méditerranéenne,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,91,51,49,113,14,36,45,40,25,83,61,54,38,55,34,46
2020-02-28,Sousse,Côtière,Grande métropole,Méditerranéenne,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,91,50,41,115,22,22,20,37,24,61,60,59,39,58,25,59
2020-02-29,Sousse,Côtière,Grande métropole,Méditerranéenne,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,86,51,55,91,21,37,39,34,25,73,58,56,38,49,27,53
2020-03-01,Sousse,Côtière,Grande métropole,Méditerranéenne,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,108,49,47,103,21,20,39,38,27,92,56,62,39,71,34,27
2020-03-02,Sousse,Côtière,Grande métropole,Méditerranéenne,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,93,54,50,106,30,22,47,40,24,72,70,63,39,72,35,33
2020-03-03,Sousse,Côtière,Grande métropole,Méditerranéenne,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,102,53,51,91,12,18,36,33,24,70,62,75,38,70,26,27
2020-03-04,Sousse,Côtière,Grande métropole,Méditerranéenne,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,85,52,52,116,11,17,27,28,31,80,58,69,43,68,33,24
2020-03-05,Sousse,Côtière,Grande métropole,Méditerranéenne,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,107,57,45,109,22,44,78,28,29,95,63,62,41,64,28,33
2020-03-06,Sousse,Côtière,Grande métropole,Méditerranéenne,17,55,15,0,16,55,11,0,16,55,11,0,16,55,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,91,51,45,103,23,22,39,28,27,76,53,56,47,65,25,23
2020-03-07,Sousse,Côtière,Grande métropole,Méditerranéenne,12,58,20,0,17,55,15,0,17,55,15,0,17,55,15,0,3,1,0,0,0,0,Frais à froid,0,0,0,0,0,102,58,45,110,14,23,40,20,32,72,64,62,36,63,25,22
2020-03-08,Sousse,Côtière,Grande métropole,Méditerranéenne,12,58,18,0,12,58,20,0,12,58,20,0,12,58,20,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,89,58,48,102,14,17,24,21,24,74,59,52,45,65,36,24
2020-03-09,Sousse,Côtière,Grande métropole,Méditerranéenne,13,58,15,0,12,58,18,0,12,58,18,0,12,58,18,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,92,67,46,121,17,19,26,17,28,75,63,65,43,72,32,31
2020-03-10,Sousse,Côtière,Grande métropole,Méditerranéenne,12,65,22,0,13,58,15,0,13,58,15,0,13,58,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,77,53,40,107,15,13,16,24,33,83,62,71,37,65,34,29
2020-03-11,Sousse,Côtière,Grande métropole,Méditerranéenne,14,71,12,0,12,65,22,0,12,65,22,0,12,65,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,87,69,54,106,20,15,30,20,31,85,63,52,50,66,25,28
2020-03-12,Sousse,Côtière,Grande métropole,Méditerranéenne,15,65,8,0,14,71,12,0,14,71,12,0,14,71,12,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,102,63,62,84,22,41,63,29,26,79,50,59,37,75,28,31
2020-03-13,Sousse,Côtière,Grande métropole,Méditerranéenne,17,55,9,0,15,65,8,0,15,65,8,0,15,65,8,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,106,54,47,90,30,23,47,37,30,84,75,62,39,74,28,25
2020-03-14,Sousse,Côtière,Grande métropole,Méditerranéenne,17,58,12,0,17,55,9,0,17,55,9,0,17,55,9,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,97,53,51,102,25,42,63,36,31,67,68,59,35,67,28,27
2020-03-15,Sousse,Côtière,Grande métropole,Méditerranéenne,16,64,12,0,17,58,12,0,17,58,12,0,17,58,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,101,48,48,97,23,25,47,36,29,70,61,52,35,68,30,28
2020-03-16,Sousse,Côtière,Grande métropole,Méditerranéenne,15,73,17,0,16,64,12,0,16,64,12,0,16,64,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,93,60,54,112,21,15,33,29,24,82,80,60,46,70,30,30
2020-03-17,Sousse,Côtière,Grande métropole,Méditerranéenne,16,71,24,0,15,73,17,0,15,73,17,0,15,73,17,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,102,58,49,90,18,12,37,34,32,76,71,49,44,67,41,29
2020-03-18,Sousse,Côtière,Grande métropole,Méditerranéenne,15,71,17,0,16,71,24,0,16,71,24,0,16,71,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,71,53,55,100,20,20,37,28,30,73,66,64,51,59,28,29
2020-03-19,Sousse,Côtière,Grande métropole,Méditerranéenne,15,71,15,0,15,71,17,0,15,71,17,0,15,71,17,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,98,58,67,107,22,29,56,30,22,75,68,53,49,78,30,25
2020-03-20,Sousse,Côtière,Grande métropole,Méditerranéenne,16,70,22,0,15,71,15,0,15,71,15,0,15,71,15,0,3,0,1,0,0,0,Confortable frais,0,0,0,0,1,102,53,57,97,17,24,49,37,25,80,63,59,46,80,44,28
