date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-25,Tataouine,Intérieure,Petite ville,Aride/désertique,15,50,9,0,14,72,12,3,14,72,12,3,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,41,55,46,87,8,37,10,24,22,71,69,68,44,50,25,32
2020-02-26,Tataouine,Intérieure,Petite ville,Aride/désertique,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,55,63,54,70,10,67,15,26,20,75,65,61,42,52,29,31
2020-02-27,Tataouine,Intérieure,Petite ville,Aride/désertique,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,44,58,50,80,8,34,10,27,21,70,60,55,41,52,30,34
2020-02-28,Tataouine,Intérieure,Petite ville,Aride/désertique,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,45,51,46,80,7,41,9,23,21,79,67,59,37,47,38,33
2020-02-29,Tataouine,Intérieure,Petite ville,Aride/désertique,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,57,56,56,72,12,83,16,27,16,81,65,58,39,57,31,23
2020-03-01,Tataouine,Intérieure,Petite ville,Aride/désertique,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,43,56,54,79,12,40,18,27,25,76,67,60,38,67,33,16
2020-03-02,Tataouine,Intérieure,Petite ville,Aride/désertique,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,43,50,45,79,9,46,20,25,22,73,72,56,42,62,28,16
2020-03-03,Tataouine,Intérieure,Petite ville,Aride/désertique,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,60,60,51,85,7,67,24,25,21,74,61,58,39,63,28,19
2020-03-04,Tataouine,Intérieure,Petite ville,Aride/désertique,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,39,46,45,89,5,30,13,29,23,71,66,61,35,56,42,17
2020-03-05,Tataouine,Intérieure,Petite ville,Aride/désertique,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,59,61,52,69,10,75,29,28,19,82,62,54,39,62,31,16
