date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Tozeur,Intérieure,Petite ville,Aride/désertique,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,37,62,44,78,9,34,9,17,21,81,68,66,40,52,27,27
2020-02-25,Tozeur,Intérieure,Petite ville,Aride/désertique,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,40,49,51,81,8,40,7,21,20,77,66,55,39,54,31,35
2020-02-26,Tozeur,Intérieure,Petite ville,Aride/désertique,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,52,60,55,76,10,73,16,24,20,77,58,62,42,53,30,25
2020-02-27,Tozeur,Intérieure,Petite ville,Aride/désertique,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,36,46,50,74,8,32,7,29,19,73,53,56,39,50,24,28
2020-02-28,Tozeur,Intérieure,Petite ville,Aride/désertique,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,38,47,54,80,9,35,11,30,20,83,59,57,43,62,29,31
2020-02-29,Tozeur,Intérieure,Petite ville,Aride/désertique,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,42,50,53,65,12,48,10,27,21,62,59,61,39,50,30,31
2020-03-01,Tozeur,Intérieure,Petite ville,Aride/désertique,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,43,48,50,59,11,37,17,29,20,87,57,64,43,64,37,16
2020-03-02,Tozeur,Intérieure,Petite ville,Aride/désertique,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,57,54,54,80,16,81,36,32,23,72,66,56,43,66,33,18
2020-03-03,Tozeur,Intérieure,Petite ville,Aride/désertique,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,39,49,54,74,7,37,14,26,24,76,69,58,42,68,26,20
2020-03-04,Tozeur,Intérieure,Petite ville,Aride/désertique,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,59,53,51,83,5,50,22,23,23,75,59,64,40,53,38,23
2020-03-05,Tozeur,Intérieure,Petite ville,Aride/désertique,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,48,54,56,68,9,37,15,25,19,82,61,61,39,57,32,19
2020-03-06,Tozeur,Intérieure,Petite ville,Aride/désertique,17,55,15,0,16,55,11,0,16,55,11,0,16,55,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,39,52,50,72,10,42,18,27,21,77,59,54,37,63,26,18
2020-03-07,Tozeur,Intérieure,Petite ville,Aride/désertique,12,58,20,0,17,55,15,0,17,55,15,0,17,55,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,43,61,38,87,7,25,9,14,28,79,54,64,40,70,32,21
2020-03-08,Tozeur,Intérieure,Petite ville,Aride/désertique,12,58,18,0,12,58,20,0,12,58,20,0,12,58,20,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,43,66,46,88,7,31,10,14,22,69,65,63,42,73,34,16
2020-03-09,Tozeur,Intérieure,Petite ville,Aride/désertique,13,58,15,0,12,58,18,0,12,58,18,0,12,58,18,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,53,61,44,91,8,61,24,15,18,79,66,62,40,68,33,17
2020-03-10,Tozeur,Intérieure,Petite ville,Aride/désertique,12,65,22,0,13,58,15,0,13,58,15,0,13,58,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,32,62,41,100,7,25,12,14,22,85,61,55,42,75,30,17
2020-03-11,Tozeur,Intérieure,Petite ville,Aride/désertique,14,71,12,0,12,65,22,0,12,65,22,0,12,65,22,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,49,79,57,78,11,65,25,17,20,79,65,53,45,77,28,20
2020-03-12,Tozeur,Intérieure,Petite ville,Aride/désertique,15,65,8,0,14,71,12,0,14,71,12,0,14,71,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,41,42,48,76,10,41,17,24,19,83,63,64,42,74,29,17
2020-03-13,Tozeur,Intérieure,Petite ville,Aride/désertique,17,55,9,0,15,65,8,0,15,65,8,0,15,65,8,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,44,41,55,66,11,44,16,33,19,87,64,68,40,67,32,15
2020-03-14,Tozeur,Intérieure,Petite ville,Aride/désertique,17,58,12,0,17,55,9,0,17,55,9,0,17,55,9,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,48,49,42,75,13,44,15,25,18,74,64,60,39,69,32,19
2020-03-15,Tozeur,Intérieure,Petite ville,Aride/désertique,16,64,12,0,17,58,12,0,17,58,12,0,17,58,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,44,50,51,67,12,36,15,21,20,85,65,57,44,72,29,20
2020-03-16,Tozeur,Intérieure,Petite ville,Aride/désertique,15,73,17,0,16,64,12,0,16,64,12,0,16,64,12,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,50,61,70,79,9,62,23,22,24,83,77,57,46,67,26,17
2020-03-17,Tozeur,Intérieure,Petite ville,Aride/désertique,16,71,24,0,15,73,17,0,15,73,17,0,15,73,17,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,42,59,55,77,9,24,12,25,20,77,64,50,43,72,41,17
2020-03-18,Tozeur,Intérieure,Petite ville,Aride/désertique,15,71,17,0,16,71,24,0,16,71,24,0,16,71,24,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,41,64,64,80,9,58,27,22,26,82,61,61,47,77,24,21
