date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Tunis,Hors côtier,Grande métropole,Méditerranéenne,14,53,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,68,63,44,104,19,22,11,21,27,73,67,52,37,55,26,36
2020-02-25,Tunis,Hors côtier,Grande métropole,Méditerranéenne,15,50,9,0,14,53,8,0,14,53,8,0,0,0,0,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,100,55,53,117,15,40,23,32,27,87,61,49,40,59,27,36
2020-02-26,Tunis,Hors côtier,Grande métropole,Méditerranéenne,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,79,49,56,90,19,23,10,35,23,79,67,62,38,48,28,35
2020-02-27,Tunis,Hors côtier,Grande métropole,Méditerranéenne,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,95,55,52,88,18,43,21,31,26,72,70,62,42,66,23,37
2020-02-28,Tunis,Hors côtier,Grande métropole,Méditerranéenne,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,80,55,49,87,19,22,13,38,25,83,67,59,43,60,28,33
2020-02-29,Tunis,Hors côtier,Grande métropole,Méditerranéenne,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,70,52,50,80,20,20,13,39,33,78,57,50,45,52,31,38
2020-03-01,Tunis,Hors côtier,Grande métropole,Méditerranéenne,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,83,43,50,78,22,26,22,33,25,78,64,55,40,64,26,20
2020-03-02,Tunis,Hors côtier,Grande métropole,Méditerranéenne,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,91,41,45,89,29,22,28,33,23,80,65,58,38,65,25,24
2020-03-03,Tunis,Hors côtier,Grande métropole,Méditerranéenne,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,104,64,52,93,11,35,36,31,27,78,63,60,39,71,32,23
2020-03-04,Tunis,Hors côtier,Grande métropole,Méditerranéenne,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,82,52,53,102,13,15,15,36,31,75,66,60,38,73,44,19
2020-03-05,Tunis,Hors côtier,Grande métropole,Méditerranéenne,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,99,55,52,97,19,38,37,35,30,69,63,63,43,68,31,23
2020-03-06,Tunis,Hors côtier,Grande métropole,Méditerranéenne,17,55,15,0,16,55,11,0,16,55,11,0,16,55,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,90,62,55,99,26,21,23,34,23,71,67,52,45,68,30,26
2020-03-07,Tunis,Hors côtier,Grande métropole,Méditerranéenne,12,58,20,0,17,55,15,0,17,55,15,0,17,55,15,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,72,62,45,110,15,16,16,18,27,68,61,65,40,67,26,24
2020-03-08,Tunis,Hors côtier,Grande métropole,Méditerranéenne,12,58,18,0,12,58,20,0,12,58,20,0,12,58,20,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,0,62,52,52,106,16,13,16,17,30,70,69,57,40,65,22,23
2020-03-09,Tunis,Hors côtier,Grande métropole,Méditerranéenne,13,58,15,0,12,58,18,0,12,58,18,0,12,58,18,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,71,56,45,99,15,20,13,18,28,70,60,68,40,75,32,23
2020-03-10,Tunis,Hors côtier,Grande métropole,Méditerranéenne,12,65,22,0,13,58,15,0,13,58,15,0,13,58,15,0,3,1,0,0,0,0,Frais à froid,0,0,0,0,0,80,69,49,70,15,24,24,22,30,74,62,55,32,67,37,27
2020-03-11,Tunis,Hors côtier,Grande métropole,Méditerranéenne,14,71,12,0,12,65,22,0,12,65,22,0,12,65,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,79,62,43,95,20,20,14,18,27,71,69,67,41,70,27,22
2020-03-12,Tunis,Hors côtier,Grande métropole,Méditerranéenne,15,65,8,0,14,71,12,0,14,71,12,0,14,71,12,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,0,82,57,51,109,25,39,36,35,33,78,54,64,41,73,30,23
2020-03-13,Tunis,Hors côtier,Grande métropole,Méditerranéenne,17,55,9,0,15,65,8,0,15,65,8,0,15,65,8,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,84,46,49,93,22,22,19,34,23,78,70,65,43,63,29,25
2020-03-14,Tunis,Hors côtier,Grande métropole,Méditerranéenne,17,58,12,0,17,55,9,0,17,55,9,0,17,55,9,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,73,51,50,102,24,24,21,35,25,88,64,56,44,59,26,22
2020-03-15,Tunis,Hors côtier,Grande métropole,Méditerranéenne,16,64,12,0,17,58,12,0,17,58,12,0,17,58,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,76,50,42,90,26,23,18,36,28,87,64,62,39,73,32,27
2020-03-16,Tunis,Hors côtier,Grande métropole,Méditerranéenne,15,73,17,0,16,64,12,0,16,64,12,0,16,64,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,81,51,59,100,20,15,21,32,31,73,70,53,47,75,32,22
2020-03-17,Tunis,Hors côtier,Grande métropole,Méditerranéenne,16,71,24,0,15,73,17,0,15,73,17,0,15,73,17,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,100,59,67,83,18,23,28,27,28,73,69,61,40,71,40,20
2020-03-18,Tunis,Hors côtier,Grande métropole,Méditerranéenne,15,71,17,0,16,71,24,0,16,71,24,0,16,71,24,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,78,60,58,96,19,19,19,29,28,80,57,56,45,78,34,22
2020-03-19,Tunis,Hors côtier,Grande métropole,Méditerranéenne,15,71,15,0,15,71,17,0,15,71,17,0,15,71,17,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,108,60,70,95,18,34,34,33,25,84,71,59,43,66,31,25
2020-03-20,Tunis,Hors côtier,Grande métropole,Méditerranéenne,16,70,22,0,15,71,15,0,15,71,15,0,15,71,15,0,3,0,1,0,0,0,Confortable frais,0,0,0,0,1,112,52,65,114,19,22,25,29,31,84,57,57,47,77,41,22
2020-03-21,Tunis,Hors côtier,Grande métropole,Méditerranéenne,15,79,22,0,16,70,22,0,16,70,22,0,16,70,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,67,55,56,95,17,13,15,31,33,68,74,49,48,75,36,21
2020-03-22,Tunis,Hors côtier,Grande métropole,Méditerranéenne,16,75,15,0,15,79,22,0,15,79,22,0,15,79,22,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,78,61,54,105,26,20,20,31,31,75,71,54,47,76,34,21
2020-03-23,Tunis,Hors côtier,Grande métropole,Méditerranéenne,15,74,12,0,16,75,15,0,16,75,15,0,16,75,15,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,82,58,61,98,25,19,17,36,22,75,64,66,47,72,27,20
2020-03-24,Tunis,Hors côtier,Grande métropole,Méditerranéenne,14,73,23,0,15,74,12,0,15,74,12,0,15,74,12,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,99,71,56,86,18,22,24,20,33,85,78,56,36,73,36,21
2020-03-25,Tunis,Hors côtier,Grande métropole,Méditerranéenne,10,79,26,0,14,73,23,0,14,73,23,0,14,73,23,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,1,57,57,49,113,18,8,7,19,35,78,67,52,44,75,35,20
2020-03-26,Tunis,Hors côtier,Grande métropole,Méditerranéenne,10,59,16,0,10,79,26,0,10,79,26,0,10,79,26,0,3,1,0,0,0,0,Frais à froid,0,0,0,0,1,87,66,53,87,14,21,23,20,28,75,71,58,38,66,29,22
2020-03-27,Tunis,Hors côtier,Grande métropole,Méditerranéenne,13,58,14,0,10,59,16,0,10,59,16,0,10,59,16,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,82,57,39,85,18,17,16,19,29,72,71,58,40,65,21,23
2020-03-28,Tunis,Hors côtier,Grande métropole,Méditerranéenne,14,71,10,0,13,58,14,0,13,58,14,0,13,58,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,80,62,50,105,26,17,19,21,31,81,63,54,46,69,32,19
2020-03-29,Tunis,Hors côtier,Grande métropole,Méditerranéenne,12,84,12,0,14,71,10,0,14,71,10,0,14,71,10,0,3,0,0,0,0,0,Frais à froid,0,0,0,0,1,66,70,57,105,25,11,12,19,25,78,60,58,49,88,24,25
2020-03-30,Tunis,Hors côtier,Grande métropole,Méditerranéenne,13,74,11,0,12,84,12,0,12,84,12,0,12,84,12,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,1,68,72,56,114,26,18,14,19,23,82,71,58,49,85,29,24
2020-03-31,Tunis,Hors côtier,Grande métropole,Méditerranéenne,15,68,9,0,13,74,11,0,13,74,11,0,13,74,11,0,3,1,0,0,0,0,Confortable frais,0,0,0,0,1,96,59,48,86,18,38,35,33,25,78,65,59,39,75,31,21
2020-04-01,Tunis,Hors côtier,Grande métropole,Méditerranéenne,16,67,14,0,15,68,9,0,15,68,9,0,15,68,9,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,81,55,56,99,23,19,33,35,26,83,65,64,43,78,31,22
2020-04-02,Tunis,Hors côtier,Grande métropole,Méditerranéenne,15,73,15,0,16,67,14,0,16,67,14,0,16,67,14,0,4,1,0,0,0,0,Confortable frais,0,0,0,0,1,90,64,61,92,21,29,55,31,28,76,68,49,39,71,28,24
2020-04-03,Tunis,Hors côtier,Grande métropole,Méditerranéenne,14,81,14,0,15,73,15,0,15,73,15,0,15,73,15,0,4,0,0,0,0,0,Confortable frais,0,0,0,0,1,79,77,55,90,21,16,27,21,25,72,59,58,49,71,24,21
