date,city,profil_cotier,densite_urbaine,region_climatique,temp_jour,humidity_jour,wind_speed_jour,precip_jour,temp_jour_lag1,humidity_jour_lag1,wind_speed_jour_lag1,precip_jour_lag1,temp_jour_lag3,humidity_jour_lag3,wind_speed_jour_lag3,precip_jour_lag3,temp_jour_lag7,humidity_jour_lag7,wind_speed_jour_lag7,precip_jour_lag7,mois,Weekend,jour_ferie,vacances_scolaires,ramadan,new_year,Indice d’inconfort,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons_fraiches,snacks_sucré,snacks_salé,boissons_chaudes,produits anti_moustiques,produits_jardinage,ustensiles_jetables,creme_solaire,equipement_urgence,lait_et_boissons_laitières,produits_laitiers_frais,fromage,glaces_et_produits_froids,soins_hygiene,soins_hydratants,produits_charbon
2020-02-24,Zaghouan,Hors côtier,Petite ville,Semi-aride,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,62,61,52,78,12,39,7,14,20,78,65,52,41,51,29,42
2020-02-25,Zaghouan,Hors côtier,Petite ville,Semi-aride,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,61,45,51,78,9,45,8,21,19,63,62,59,45,53,34,37
2020-02-26,Zaghouan,Hors côtier,Petite ville,Semi-aride,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,56,48,50,78,11,44,8,29,21,84,57,62,37,60,29,34
2020-02-27,Zaghouan,Hors côtier,Petite ville,Semi-aride,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,83,53,56,100,9,75,15,29,19,76,69,55,36,61,28,35
2020-02-28,Zaghouan,Hors côtier,Petite ville,Semi-aride,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,0,0,0,0,0,Confortable frais,0,0,0,0,0,52,51,51,73,10,41,8,28,18,74,63,51,43,59,28,39
2020-02-29,Zaghouan,Hors côtier,Petite ville,Semi-aride,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,1,0,0,0,0,Confortable frais,0,0,0,0,0,75,56,66,77,10,82,14,27,22,76,63,59,39,56,31,42
2020-03-01,Zaghouan,Hors côtier,Petite ville,Semi-aride,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,57,49,49,59,13,41,15,31,15,75,64,60,35,68,29,23
2020-03-02,Zaghouan,Hors côtier,Petite ville,Semi-aride,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,69,52,51,77,15,38,18,34,25,77,50,62,36,66,29,21
2020-03-03,Zaghouan,Hors côtier,Petite ville,Semi-aride,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,55,48,51,84,8,34,12,26,21,81,73,64,41,70,31,21
2020-03-04,Zaghouan,Hors côtier,Petite ville,Semi-aride,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,0,0,0,0,0,Confortable frais,0,0,0,0,0,60,53,49,78,8,30,13,23,24,78,65,51,33,78,34,19
