date,city,profil_cotier,température,humidity,vitesse_vent,precipitation,temp_lag1,humid_lag1,vitesse_vent_lag1,precip_lag1,temp_lag3,humid_lag3,vitesse_vent_lag3,precip_lag3,temp_lag7,humid_lag7,vitesse_vent_lag7,precip_lag7,mois,Weekend,Jours Fériés,saison,Vacances Scolaires,Ramadan,Nouvel An,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons fraiches,boissons chaudes,snacks sucrés,snacks salés,produits laitiers frais,produits de jardinage,ustensiles jetables,crème solaire,équipements d urgence,soins hygiene,soins hydratants,Charbon,produits anti_moustiques
2020-02-24,Bizerte,Côtière,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,1,0,hiver,0,0,0,0,0,0,0,0,26,20,20,21,23,5,5,4,7,5,5,13,0
2020-02-25,Bizerte,Côtière,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,0,0,hiver,0,0,0,0,0,0,0,0,24,20,17,19,26,4,4,8,5,7,6,14,0
2020-02-26,Bizerte,Côtière,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,0,0,hiver,0,0,0,0,0,0,0,0,25,20,21,21,25,4,3,7,5,6,5,12,0
2020-02-27,Bizerte,Côtière,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,0,0,hiver,0,0,0,0,0,0,0,0,25,21,19,22,22,4,4,7,5,6,6,16,0
2020-02-28,Bizerte,Côtière,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,1,0,hiver,0,0,0,0,0,0,0,0,25,19,20,21,21,6,8,6,7,7,6,13,0
2020-02-29,Bizerte,Côtière,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,0,0,hiver,0,0,0,0,0,0,0,0,26,19,20,22,23,4,4,7,6,6,5,12,0
2020-03-01,Bizerte,Côtière,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,25,18,18,18,23,4,7,7,7,6,5,8,0
2020-03-02,Bizerte,Côtière,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,1,0,printemps/automne,0,0,0,0,0,0,0,0,25,20,20,21,22,7,15,8,6,6,5,9,0
2020-03-03,Bizerte,Côtière,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,25,19,21,17,23,4,6,6,7,7,5,8,0
2020-03-04,Bizerte,Côtière,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,25,22,22,20,22,3,5,6,6,6,5,8,0
2020-03-05,Bizerte,Côtière,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,25,19,22,19,21,3,6,7,7,8,4,8,0
2020-03-06,Bizerte,Côtière,17,55,15,0,16,55,11,0,16,55,11,0,16,55,11,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,25,17,19,22,23,4,7,7,7,7,6,6,0
2020-03-07,Bizerte,Côtière,12,58,20,0,17,55,15,0,17,55,15,0,17,55,15,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,25,20,22,16,21,2,5,4,6,7,6,8,0
2020-03-08,Bizerte,Côtière,12,58,18,0,12,58,20,0,12,58,20,0,12,58,20,0,3,1,0,printemps/automne,0,0,0,0,0,0,0,0,26,21,21,20,23,4,8,4,7,7,5,7,0
2020-03-09,Bizerte,Côtière,13,58,15,0,12,58,18,0,12,58,18,0,12,58,18,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,25,20,22,19,21,3,5,4,7,7,6,7,0
2020-03-10,Bizerte,Côtière,12,65,22,0,13,58,15,0,13,58,15,0,13,58,15,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,25,19,18,20,22,2,5,4,7,8,7,8,0
2020-03-11,Bizerte,Côtière,14,71,12,0,12,65,22,0,12,65,22,0,12,65,22,0,3,1,0,printemps/automne,0,0,0,0,0,0,0,0,25,21,21,19,23,5,10,4,6,10,5,7,0
2020-03-12,Bizerte,Côtière,15,65,8,0,14,71,12,0,14,71,12,0,14,71,12,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,25,18,19,19,25,3,5,6,5,8,4,8,0
2020-03-13,Bizerte,Côtière,17,55,9,0,15,65,8,0,15,65,8,0,15,65,8,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,25,18,18,18,20,4,8,8,5,7,6,8,0
2020-03-14,Bizerte,Côtière,17,58,12,0,17,55,9,0,17,55,9,0,17,55,9,0,3,1,0,printemps/automne,0,0,0,0,0,0,0,1,24,18,20,18,21,8,11,8,6,7,5,8,0
