date,city,profil_cotier,température,humidity,vitesse_vent,precipitation,temp_lag1,humid_lag1,vitesse_vent_lag1,precip_lag1,temp_lag3,humid_lag3,vitesse_vent_lag3,precip_lag3,temp_lag7,humid_lag7,vitesse_vent_lag7,precip_lag7,mois,Weekend,Jours Fériés,saison,Vacances Scolaires,Ramadan,Nouvel An,Indice de Vague de Chaleur,Indice de Vague de Froid ,Indice de Pluie Intense,Indice de Tempête,Indice de sécheresse,boissons fraiches,boissons chaudes,snacks sucrés,snacks salés,produits laitiers frais,produits de jardinage,ustensiles jetables,crème solaire,équipements d urgence,soins hygiene,soins hydratants,Charbon,produits anti_moustiques
2020-02-24,Kef,Intérieure,14,53,8,0,14,72,12,3,14,72,12,3,14,72,12,3,2,1,0,hiver,0,0,0,0,0,0,0,0,25,18,19,22,23,7,3,2,8,6,7,8,0
2020-02-25,Kef,Intérieure,15,50,9,0,14,53,8,0,14,53,8,0,14,72,12,3,2,0,0,hiver,0,0,0,0,0,0,0,0,25,16,19,21,24,5,0,5,6,6,6,8,0
2020-02-26,Kef,Intérieure,16,51,11,0,15,50,9,0,15,50,9,0,15,50,9,0,2,0,0,hiver,0,0,0,0,0,0,0,0,25,16,18,21,25,4,0,5,8,6,5,8,0
2020-02-27,Kef,Intérieure,15,56,12,0,16,51,11,0,16,51,11,0,16,51,11,0,2,0,0,hiver,0,0,0,0,0,0,0,0,24,16,20,22,23,5,0,5,7,6,6,7,0
2020-02-28,Kef,Intérieure,16,52,13,0,15,56,12,0,15,56,12,0,15,56,12,0,2,1,0,hiver,0,0,0,0,0,0,0,0,24,16,19,21,21,9,4,4,8,6,4,7,0
2020-02-29,Kef,Intérieure,16,55,10,0,16,52,13,0,16,52,13,0,16,52,13,0,2,0,0,hiver,0,0,0,0,0,0,0,0,25,17,19,22,23,6,0,4,5,6,5,7,0
2020-03-01,Kef,Intérieure,17,48,11,0,16,55,10,0,16,55,10,0,16,55,10,0,3,1,0,printemps/automne,0,0,0,0,0,0,0,0,25,17,18,20,21,10,5,4,7,8,5,4,0
2020-03-02,Kef,Intérieure,18,56,14,0,17,48,11,0,17,48,11,0,17,48,11,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,25,16,20,19,22,4,4,5,7,7,4,5,0
2020-03-03,Kef,Intérieure,15,52,19,0,18,56,14,0,18,56,14,0,18,56,14,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,25,21,19,18,22,4,3,4,9,8,5,5,0
2020-03-04,Kef,Intérieure,15,53,24,0,15,52,19,0,15,52,19,0,15,52,19,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,24,19,21,20,22,3,3,4,6,7,6,3,0
2020-03-05,Kef,Intérieure,16,55,11,0,15,53,24,0,15,53,24,0,15,53,24,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,25,16,20,21,23,4,3,5,7,6,5,5,0
2020-03-06,Kef,Intérieure,17,55,15,0,16,55,11,0,16,55,11,0,16,55,11,0,3,1,0,printemps/automne,0,0,0,0,0,0,0,0,25,17,19,23,20,8,7,6,5,8,6,4,0
2020-03-07,Kef,Intérieure,12,58,20,0,17,55,15,0,17,55,15,0,17,55,15,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,22,21,23,18,22,3,2,3,10,8,4,4,0
2020-03-08,Kef,Intérieure,12,58,18,0,12,58,20,0,12,58,20,0,12,58,20,0,3,1,0,printemps/automne,0,0,0,0,0,0,0,0,25,19,19,23,21,6,3,3,6,7,5,5,0
2020-03-09,Kef,Intérieure,13,58,15,0,12,58,18,0,12,58,18,0,12,58,18,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,22,20,20,17,25,4,2,3,6,8,4,5,0
2020-03-10,Kef,Intérieure,12,65,22,0,13,58,15,0,13,58,15,0,13,58,15,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,21,18,18,16,21,3,2,2,9,8,7,5,0
2020-03-11,Kef,Intérieure,14,71,12,0,12,65,22,0,12,65,22,0,12,65,22,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,22,21,19,18,21,3,2,2,7,10,4,4,0
2020-03-12,Kef,Intérieure,15,65,8,0,14,71,12,0,14,71,12,0,14,71,12,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,0,25,17,20,20,23,5,3,5,5,8,6,5,0
2020-03-13,Kef,Intérieure,17,55,9,0,15,65,8,0,15,65,8,0,15,65,8,0,3,1,0,printemps/automne,0,0,0,0,0,0,0,0,25,16,18,19,21,10,6,4,8,7,5,4,0
2020-03-14,Kef,Intérieure,17,58,12,0,17,55,9,0,17,55,9,0,17,55,9,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,1,25,16,21,23,21,5,3,5,10,8,6,4,0
2020-03-15,Kef,Intérieure,16,64,12,0,17,58,12,0,17,58,12,0,17,58,12,0,3,1,0,printemps/automne,0,0,0,0,0,0,0,1,25,16,20,17,22,8,6,5,7,8,5,4,0
2020-03-16,Kef,Intérieure,15,73,17,0,16,64,12,0,16,64,12,0,16,64,12,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,1,23,19,20,21,19,3,3,5,7,7,4,5,0
2020-03-17,Kef,Intérieure,16,71,24,0,15,73,17,0,15,73,17,0,15,73,17,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,1,24,17,18,21,21,3,3,5,8,8,7,4,0
2020-03-18,Kef,Intérieure,15,71,17,0,16,71,24,0,16,71,24,0,16,71,24,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,1,24,17,18,17,20,4,3,4,6,8,5,4,0
2020-03-19,Kef,Intérieure,15,71,15,0,15,71,17,0,15,71,17,0,15,71,17,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,1,24,19,21,21,23,4,3,5,8,9,6,5,0
2020-03-20,Kef,Intérieure,16,70,22,0,15,71,15,0,15,71,15,0,15,71,15,0,3,1,1,printemps/automne,0,0,0,0,0,0,0,1,24,19,20,20,26,8,6,4,8,8,6,5,0
2020-03-21,Kef,Intérieure,15,79,22,0,16,70,22,0,16,70,22,0,16,70,22,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,1,23,18,18,22,22,3,3,5,10,8,8,4,0
2020-03-22,Kef,Intérieure,16,75,15,0,15,79,22,0,15,79,22,0,15,79,22,0,3,1,0,printemps/automne,0,0,0,0,0,0,0,1,26,18,19,21,21,7,6,5,6,8,5,4,0
2020-03-23,Kef,Intérieure,15,74,12,0,16,75,15,0,16,75,15,0,16,75,15,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,1,24,17,19,20,23,4,3,5,7,8,5,4,0
2020-03-24,Kef,Intérieure,14,73,23,0,15,74,12,0,15,74,12,0,15,74,12,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,1,22,21,21,19,20,3,2,3,8,7,5,4,0
2020-03-25,Kef,Intérieure,10,79,26,0,14,73,23,0,14,73,23,0,14,73,23,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,1,18,21,21,19,22,1,0,3,7,9,8,5,0
2020-03-26,Kef,Intérieure,10,59,16,0,10,79,26,0,10,79,26,0,10,79,26,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,1,18,21,23,17,19,3,0,3,7,6,5,4,0
2020-03-27,Kef,Intérieure,13,58,14,0,10,59,16,0,10,59,16,0,10,59,16,0,3,1,0,printemps/automne,0,0,0,0,0,0,0,1,25,20,20,22,22,7,4,3,6,6,5,4,0
2020-03-28,Kef,Intérieure,14,71,10,0,13,58,14,0,13,58,14,0,13,58,14,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,1,23,20,16,21,22,4,2,3,6,8,5,4,0
2020-03-29,Kef,Intérieure,12,84,12,0,14,71,10,0,14,71,10,0,14,71,10,0,3,1,0,printemps/automne,0,0,0,0,0,0,0,1,26,20,19,20,21,5,4,3,8,8,4,5,0
2020-03-30,Kef,Intérieure,13,74,11,0,12,84,12,0,12,84,12,0,12,84,12,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,1,22,20,19,17,21,3,2,3,7,8,6,4,0
2020-03-31,Kef,Intérieure,15,68,9,0,13,74,11,0,13,74,11,0,13,74,11,0,3,0,0,printemps/automne,0,0,0,0,0,0,0,1,24,16,23,21,21,3,3,4,5,7,4,4,0
2020-04-01,Kef,Intérieure,16,67,14,0,15,68,9,0,15,68,9,0,15,68,9,0,4,0,0,printemps/automne,0,0,0,0,0,0,0,1,26,16,22,18,24,4,4,5,7,7,6,4,0
2020-04-02,Kef,Intérieure,15,73,15,0,16,67,14,0,16,67,14,0,16,67,14,0,4,0,0,printemps/automne,0,0,0,0,0,0,0,1,24,17,19,20,24,4,5,5,7,8,3,4,0
2020-04-03,Kef,Intérieure,14,81,14,0,15,73,15,0,15,73,15,0,15,73,15,0,4,1,0,printemps/automne,0,0,0,0,0,0,0,1,25,22,18,19,22,6,6,3,7,9,4,4,0
2020-04-04,Kef,Intérieure,15,66,16,0,14,81,14,0,14,81,14,0,14,81,14,0,4,0,0,printemps/automne,0,0,0,0,0,0,0,1,25,19,17,18,23,5,5,5,9,9,6,5,0
2020-04-05,Kef,Intérieure,15,63,10,0,15,66,16,0,15,66,16,0,15,66,16,0,4,1,0,printemps/automne,0,0,0,0,0,0,0,1,24,17,21,22,20,8,8,4,7,7,4,4,0
2020-04-06,Kef,Intérieure,15,63,9,0,15,63,10,0,15,63,10,0,15,63,10,0,4,0,0,printemps/automne,0,0,0,0,0,0,0,1,25,17,21,20,22,5,5,4,9,7,4,4,0
